world,hour_utc,rel,bias_factor
Nefera,13,0.7696437195680199,1.2993024883790032
Nefera,14,0.8800736763033472,1.1362685044738414
Nefera,15,0.9739326664945692,1.026765026374209
Nefera,16,1.0189849817863557,0.981368732488016
Nefera,17,1.0802198815938702,0.9257374512719528
Nefera,18,1.1468921297986692,0.8719215818278784
Nefera,19,1.2038548272940315,0.830664941758595
Nefera,20,1.2375146030867457,0.8080712724566559
Nefera,21,1.4361072802637587,0.6963268091060285
Nefera,22,1.429046694158127,0.6997671973126918
Nefera,23,1.4348126735025004,0.6969550927919492
Nevia,0,0.4163044787737816,2.4020880172740022
Nevia,1,0.2788996813452605,3.5855186179365406
Nevia,2,0.2156691550949676,4.636731662252123
Nevia,3,0.20638355333793154,4.845347334254897
Nevia,4,0.25701219148938986,3.8908660099156527
Nevia,5,0.37562469964771905,2.6622317460429348
Nevia,6,0.5513878757630437,1.8136053474446456
Nevia,7,0.7389791398307832,1.3532181709878675
Nevia,8,0.810704461095068,1.2334951242888672
Nevia,9,1.1071974666484856,0.9031812572937192
Nevia,10,1.1077501810387853,0.9027306130180514
Nevia,11,1.0657438873760032,0.9383117387256398
Nevia,12,1.0528103706429888,0.9498386678973009
Nevia,13,1.155283618604565,0.8655883143291447
Nevia,14,1.2134291724641,0.824110729074783
Nevia,15,1.3173394778404555,0.759105771003935
Nevia,16,1.4802796801008256,0.675548015312814
Nevia,17,1.7218158686618221,0.5807821952397209
Nevia,18,1.8142297147199427,0.5511981155894402
Nevia,19,1.9630204285886388,0.509419049051351
Nevia,20,1.9123917904371803,0.5229054030666991
Nevia,21,1.5384252339603608,0.6500153390137164
Nevia,22,1.0364160114968666,0.9648635189992174
Nevia,23,0.6519818947976006,1.5337849225252447
Noctalia,0,0.5048652045769765,1.9807267186057989
Noctalia,1,0.3302433685852982,3.0280698876220162
Noctalia,2,0.24157528606102635,4.139496288322232
Noctalia,3,0.23343229889042996,4.2838973216357985
Noctalia,4,0.307623959778086,3.250722085241282
Noctalia,5,0.34291023751733707,2.9162150632771393
Noctalia,6,0.46776937413314845,2.1378056266577095
Noctalia,7,0.6206765776699029,1.6111450568251253
Noctalia,8,0.780474001120239,1.281272660671167
Noctalia,9,1.0884459518030514,0.918741071473014
Noctalia,10,1.0622074375866852,0.9414356975996898
Noctalia,11,0.9708250260055479,1.0300517325088872
Noctalia,12,1.0278259361997226,0.9729273846672851
Noctalia,13,1.0368736997226076,0.9644376169127712
Noctalia,14,1.230495839112344,0.8126805213103205
Noctalia,15,1.3544501993758669,0.7383069532278129
Noctalia,16,1.4440230582524272,0.6925097174072907
Noctalia,17,1.5372150225381416,0.6505270800365132
Noctalia,18,1.8376007714979197,0.54418784292567
Noctalia,19,2.013127383841886,0.49673955459866787
Noctalia,20,1.999555738557559,0.5001110900371203
Noctalia,21,1.6005493671983355,0.6247854770955545
Noctalia,22,1.1419669529499628,0.8756820829331098
Noctalia,23,0.8197273751733704,1.219917780333373
Oceanis,0,0.7448346274752142,1.3425799004400838
Oceanis,1,0.7726537521158549,1.2942407867192443
Oceanis,2,0.7771407077030549,1.2867682648559693
Oceanis,3,0.7861146188774552,1.2720791294124079
Oceanis,4,0.839958085923856,1.1905355954757153
Oceanis,5,0.9198258953760176,1.0871622608441653
Oceanis,6,1.04635804293506,0.9556958124916547
Oceanis,7,1.1100728122733012,0.9008418087027239
Oceanis,8,1.0620969025332387,0.9415336751428899
Oceanis,9,1.6036379268653107,0.6235821585703802
Oceanis,10,1.6476100916198715,0.6069397153405608
Oceanis,11,1.5937666245734705,0.6274444354534175
