horizon,target,fold,model,n_test,rmse,mae,r2_oos,dir_acc,dm_t_vs_rw,dm_p_vs_rw
7,rel,5,XGBoost,6531,0.018974539189806936,0.013329116300941371,0.06392187344241307,0.5885775532077783,5.804031459204546,6.473912295135165e-09
7,rel,5,LightGBM,6531,0.019032619165609246,0.013360658521095643,0.05818254010386348,0.5902618282039503,5.189075849250286,2.11340305256158e-07
30,ret,0,RandomWalk,1357,0.0554101342936525,0.04089780303637072,0.0,0.0014738393515106854,,
30,ret,0,Naive,1357,0.41663429536576657,0.2637521511243432,-55.536852488087185,0.4885777450257922,-5.369943335263763,7.876138585771741e-08
30,ret,0,MovingAvg,1357,0.059934230913403566,0.04336055110193679,-0.16996122368035516,0.43773028739867353,-3.4090604192369875,0.0006518704055871183
30,ret,0,Ridge,1357,0.06602860664018306,0.05437119149557312,-0.4199918768980666,0.68828297715549,-2.083159466630109,0.0372366904021999
30,ret,0,ElasticNet,1357,0.06466076774875519,0.05318210299733643,-0.36176857630723047,0.6941783345615328,-1.7681028483221914,0.07704371136942378
30,ret,0,RandomForest,1357,0.05816949489380697,0.04671461597604008,-0.10207761159230344,0.4745762711864407,-1.2333061611619094,0.21746156009158657
30,ret,0,XGBoost,1357,0.05576840757475355,0.04412468923866556,-0.012973495020176307,0.681650700073692,-0.0804623476735694,0.9358695413086549
30,ret,0,LightGBM,1357,0.05811097854382092,0.04566581676517263,-0.09986142861531588,0.6705969049373618,-0.6376458395477822,0.5237042489746377
30,ret,1,RandomWalk,3504,0.03560973855754779,0.02803646745794359,0.0,0.0,,
30,ret,1,Naive,3504,,,,0.4803082191780822,-13.349623442044354,0.0
30,ret,1,MovingAvg,3504,0.040793714729147994,0.03258044729144634,-0.3123477735524516,0.29337899543379,-11.153128017851017,0.0
30,ret,1,Ridge,3504,0.35133189469568515,0.20886719296417927,-96.3413993683716,0.7468607305936074,-54.05168887476857,0.0
30,ret,1,ElasticNet,3504,0.2520008105543326,0.15421638412393704,-49.08022888213229,0.75,-53.14431563032935,0.0
30,ret,1,RandomForest,3504,0.03618907076853382,0.028011918859508815,-0.032802530496231164,0.5470890410958904,-0.7855200061490109,0.4321487451796573
30,ret,1,XGBoost,3504,0.03798609718236902,0.028965303261352552,-0.13792012856791813,0.5693493150684932,-2.544752765431689,0.010935513411539866
30,ret,1,LightGBM,3504,0.03967189596105286,0.02988994140742841,-0.24116163379377387,0.5416666666666666,-2.878874471059723,0.003990971547460198
30,ret,2,RandomWalk,3702,0.038763357187435274,0.0305393270915121,0.0,0.0,,
30,ret,2,Naive,3702,0.33800811890624777,0.22959163184454032,-75.03464070754929,0.5021609940572663,-13.800821101365372,0.0
30,ret,2,MovingAvg,3702,0.038779843834067164,0.03055011144468297,-0.00085081137648646,0.4548892490545651,-2.06538844405038,0.038886261097233144
30,ret,2,Ridge,3702,0.046904348468318514,0.03632319835614777,-0.4641428443084703,0.695569962182604,-6.009877487897223,1.856635734043266e-09
30,ret,2,ElasticNet,3702,0.04651974024496688,0.03600114752060721,-0.4402298109385676,0.6963803349540789,-5.809648663098682,6.260408191849365e-09
30,ret,2,RandomForest,3702,0.028875840657919837,0.023327196929941754,0.4450849454443979,0.7547271745002702,6.7158158242687165,1.8701706849810762e-11
30,ret,2,XGBoost,3702,0.03181539156651385,0.02516222270711999,0.32635393196039053,0.6950297136682874,5.6643860000087285,1.4755191957149805e-08
30,ret,2,LightGBM,3702,0.03190403465987074,0.025173951750140148,0.32259491752523317,0.7009724473257699,5.785392796884856,7.234308485593033e-09
30,ret,3,RandomWalk,5977,0.05074908637858714,0.03966938759835059,0.0,0.0,,
30,ret,3,Naive,5977,,,,0.4932240254308181,-17.361538299763325,0.0
30,ret,3,MovingAvg,5977,0.052455005514584103,0.04151264206237929,-0.06835950374700261,0.35051028944286433,-5.675297614366993,1.3844773993909598e-08
30,ret,3,Ridge,5977,0.04859824022472231,0.03928444641987504,0.08296770474837956,0.7065417433495065,1.5548047966360183,0.11999256642146117
30,ret,3,ElasticNet,5977,0.0471140312702642,0.03784626964018845,0.13812541312260274,0.7239417768111093,2.6856166748318313,0.007239609326250562
30,ret,3,RandomForest,5977,0.03229316842178819,0.024125921501830905,0.5950840737602577,0.7910322904467124,12.554163791830742,0.0
30,ret,3,XGBoost,5977,0.03425790465813464,0.026540163717396714,0.5443145766924905,0.7321398694997491,10.834050724712665,0.0
30,ret,3,LightGBM,5977,0.034292375511374824,0.02632194023549448,0.5433970793580558,0.7548937594110758,11.724403463046972,0.0
30,ret,4,RandomWalk,7125,0.03467616745910741,0.025582186317911194,0.0,0.00014035087719298245,,
30,ret,4,Naive,7125,0.3832850429242023,0.2389885621451381,-121.17477860675974,0.47410526315789475,-22.832806991394953,0.0
30,ret,4,MovingAvg,7125,0.03858128664461252,0.029401488053253856,-0.2379161545512165,0.32056140350877194,-14.83485353193611,0.0
