world,update_time,best_bid,best_ask,mid,quoted_spread_pct,bid_depth_tc,ask_depth_tc,n_buy_orders,n_sell_orders,date
Nevia,1785274312.798301,38371,39329.0,38850.0,2.4658944658944657,254000,90500.0,23,27,2026-07-28
Noctalia,1785348119.373016,36000,49969.0,42984.5,32.49776082076097,11750,25.0,22,1,2026-07-29
Oceanis,1785093677.100214,42042,45444.0,43743.0,7.777244359097455,36975,4225.0,31,9,2026-07-26
Ombra,1785136882.515309,39111,40497.0,39804.0,3.4820621043111246,214575,108775.0,59,6,2026-07-27
Ombra,1785136882.5153093,39111,40497.0,39804.0,3.4820621043111246,214575,108775.0,59,6,2026-07-27
Opulera,1785403403.5915303,17600,19985.0,18792.5,12.691233204735934,13975,1025.0,27,11,2026-07-30
Ourobra,1785296125.6653059,39228,40934.0,40081.0,4.256380828821636,171750,45150.0,42,10,2026-07-29
Ourobra,1785296125.665306,39228,40934.0,40081.0,4.256380828821636,171750,45150.0,42,10,2026-07-29
Pacera,1785234052.511377,42821,43677.0,43249.0,1.979236514139055,238175,39200.0,14,14,2026-07-28
Pacera,1785234052.5113773,42821,43677.0,43249.0,1.979236514139055,238175,39200.0,14,14,2026-07-28
Peloria,1785230498.83823,37155,38992.0,38073.5,4.824878196120661,400250,94625.0,51,18,2026-07-28
Peloria,1785230498.8382301,37155,38992.0,38073.5,4.824878196120661,400250,94625.0,51,18,2026-07-28
Penumbra,1785178439.5977132,20038,24481.0,22259.5,19.960017071362792,3025,1225.0,12,9,2026-07-27
Premia,1785360196.4665174,37700,38900.0,38300.0,3.1331592689295036,125150,7050.0,15,13,2026-07-29
Quelibra,1785363654.1498475,39111,41999.0,40555.0,7.1211934410060405,294050,39700.0,48,1,2026-07-29
Quelibra,1785363654.1498477,39111,41999.0,40555.0,7.1211934410060405,294050,39700.0,48,1,2026-07-29
Quidera,1785216085.6818016,39201,39749.0,39475.0,1.388220392653578,176700,37500.0,50,6,2026-07-28
Quintera,1785396075.5053043,39055,40362.0,39708.5,3.2914867093947144,130925,24525.0,36,11,2026-07-30
Rasteibra,1785293100.3775215,39351,40755.0,40053.0,3.5053554040895816,315100,49850.0,49,4,2026-07-29
Refugia,1785324114.8593543,42020,43600.0,42810.0,3.6907264657790235,100075,125375.0,25,9,2026-07-29
Refugia,1785324114.8593545,42020,43600.0,42810.0,3.690726465779023,100075,125375.0,25,9,2026-07-29
Retalia,1784748081.7411594,34503,38450.0,36476.5,10.820665359889244,96700,50075.0,22,12,2026-07-22
Secura,1785367321.3552368,43231,44966.0,44098.5,3.934374185062984,556550,115100.0,31,11,2026-07-29
Serdebra,1785302486.446463,39400,40742.0,40071.0,3.349055426617754,673150,51225.0,51,4,2026-07-29
Serdebra,1785302486.4464633,39400,40742.0,40071.0,3.349055426617754,673150,51225.0,51,4,2026-07-29
Solidera,1785380528.2773058,39511,42437.0,40974.0,7.14111387709279,222400,58825.0,33,13,2026-07-30
Sombra,1784834614.26761,40015,43699.0,41857.0,8.80139522660487,11900,725.0,34,4,2026-07-23
Sonira,1785259876.7623217,39333,41995.0,40664.0,6.546330906944718,7450,1800.0,34,4,2026-07-28
Stralis,1785266492.7594895,39001,40961.0,39981.0,4.902328606087892,6400,900.0,23,5,2026-07-28
Talera,1785201729.6901245,37686,39842.0,38764.0,5.561861520998865,272100,20375.0,46,10,2026-07-28
Tempestera,1784920999.3561,34101,38390.0,36245.5,11.833193086038268,7975,2550.0,16,14,2026-07-24
Terribra,1785165823.8412752,37405,38500.0,37952.5,2.8851854291548644,209225,36500.0,30,6,2026-07-27
Thyria,1785147691.082207,38721,39790.0,39255.5,2.723185286138248,160475,77775.0,28,10,2026-07-27
Tornabra,1785327675.0803137,39200,41997.0,40598.5,6.889417096690764,65800,40075.0,32,2,2026-07-29
Unebra,1785421274.9009387,39642,40967.0,40304.5,3.287474103387959,111850,52325.0,52,4,2026-07-30
Ustebra,1784925062.7861392,38804,39784.0,39294.0,2.4940194431719855,446625,86600.0,68,6,2026-07-24
Venebra,1785154975.1343806,38811,39797.0,39304.0,2.508650519031142,402850,27825.0,36,5,2026-07-27
Victoris,1785351135.4104767,35102,37996.0,36549.0,7.918137295138034,3650,4475.0,29,16,2026-07-29
Vunira,1785144104.9273078,38206,39394.0,38800.0,3.061855670103093,211825,100350.0,35,13,2026-07-27
Wintera,1785389437.3785138,38387,39649.0,39018.0,3.234404633758778,367100,35500.0,37,10,2026-07-30
Xybra,1785342073.2913136,39203,40700.0,39951.5,3.747043289989112,12375,7750.0,24,11,2026-07-29
Xyla,1785334885.6650088,38239,39800.0,39019.5,4.000563820653776,164525,83550.0,29,15,2026-07-29
Xymera,1785331554.5323775,39630,41599.0,40614.5,4.848022258060545,262650,48075.0,46,8,2026-07-29
Yonabra,1785320483.2548926,42762,43682.0,43222.0,2.1285456480496046,343675,101825.0,24,8,2026-07-29
Yovera,1785237699.2081282,38701,40392.0,39546.5,4.275978910902356,174725,23200.0,27,4,2026-07-28
Yubra,1785169517.7195518,37678,39300.0,38489.0,4.214191067577749,108525,15275.0,23,5,2026-07-27
Zuna,1785000845.4487138,44667,49870.0,47268.5,11.007330463204882,69750,4775.0,18,10,2026-07-25
Zunera,1785004071.974751,50201,57877.0,54039.0,14.20455596883732,18650,2850.0,23,6,2026-07-25
