world,origin,h,actual,model,rw,snaive,is_sa,in80,in90
Bona,2025-12-02,2w,44083.0,45140.64903529571,45166.0,43258.5,False,True,True
Bona,2025-12-02,1m,40946.5,45239.7961408868,45166.0,43258.5,False,False,False
Bona,2025-12-02,3m,41561.5,45261.636220391294,45166.0,43258.5,False,False,True
Bona,2025-12-02,6m,40774.5,45520.89183515639,45166.0,43258.5,False,False,True
Bona,2025-10-23,2w,43542.5,43604.27309261612,43604.5,42697.5,False,True,True
Bona,2025-10-23,1m,43236.5,43650.733589790296,43604.5,42697.5,False,True,True
Bona,2025-10-23,3m,41126.5,43768.54128464525,43604.5,42697.5,False,True,True
Bona,2025-10-23,6m,40683.0,44028.06291451481,43604.5,42697.5,False,True,True
Bona,2025-09-13,2w,41352.5,41187.945770276856,41227.5,40607.5,False,True,True
Bona,2025-09-13,1m,42634.0,41184.66416483934,41227.5,40607.5,False,True,True
Bona,2025-09-13,3m,44702.5,41073.36328802858,41227.5,40607.5,False,False,True
Bona,2025-09-13,6m,39649.0,40886.3730373236,41227.5,40607.5,False,True,True
Bona,2025-08-04,2w,40518.0,39731.92218330551,39665.5,39905.5,False,True,True
Bona,2025-08-04,1m,40031.0,39751.516539216165,39665.5,39905.5,False,True,True
Bona,2025-08-04,3m,44469.0,39947.86684961547,39665.5,39905.5,False,False,False
Bona,2025-08-04,6m,39999.0,40263.99547328263,39665.5,39905.5,False,True,True
Calmera,2026-01-11,2w,41291.5,41769.88592147635,41754.0,42850.5,False,True,True
Calmera,2026-01-11,1m,41718.5,41833.60061420004,41754.0,42850.5,False,True,True
Calmera,2026-01-11,3m,40790.5,41860.13488348901,41754.0,42850.5,False,True,True
Calmera,2026-01-11,6m,41673.0,41906.914311151435,41754.0,42850.5,False,True,True
Calmera,2025-12-02,2w,44756.0,44314.63444042851,44278.5,44241.5,False,True,True
Calmera,2025-12-02,1m,43299.5,44366.21716674819,44278.5,44241.5,False,True,True
Calmera,2025-12-02,3m,41050.0,44071.75432759107,44278.5,44241.5,False,True,True
