horizon,decile,cost_basis,n,mean_abs_dev_pct,gross_pct,cost_pct,net_pct,share_profitable,t_naive,t_stat,independent_windows
14,10,above the fee cap,2534,10.94338805739492,1.3009260672778724,0.2205678226341351,1.0803582446437376,0.6397000789265983,17.35569918861628,5.133289331245859,59
21,1,small offer,2497,2.125140883867478,-0.32767042276021785,4.0,-4.327670422760217,0.021225470564677613,-106.75644729572922,-35.41721975264109,34
21,1,above the fee cap,2497,2.125140883867478,-0.32767042276021785,0.2205678226341351,-0.5482382453943531,0.36884261113336003,-13.52412767897787,-5.330400383890743,34
21,2,small offer,2497,2.747411846297412,-0.14644503267238193,4.0,-4.146445032672382,0.022026431718061675,-102.83829085415816,-35.63167582824168,35
21,2,above the fee cap,2497,2.747411846297412,-0.14644503267238193,0.2205678226341351,-0.36701285530651706,0.4160993191830196,-9.102490076155993,-3.8311565168740764,35
21,3,small offer,2497,3.380962012004033,-0.04852367323363041,4.0,-4.04852367323363,0.022426912294753704,-97.45495791998724,-33.43619032334552,35
21,3,above the fee cap,2497,3.380962012004033,-0.04852367323363041,0.2205678226341351,-0.2690914958677655,0.45734881858229876,-6.477497113280722,-2.8015984418833577,35
21,4,small offer,2497,4.022638839047183,-0.0606513263609461,4.0,-4.060651326360945,0.02683219863836604,-89.49906810603736,-32.815126281541446,35
21,4,above the fee cap,2497,4.022638839047183,-0.0606513263609461,0.2205678226341351,-0.2812191489950812,0.46535843011613937,-6.198230221157239,-2.3545525360061323,35
21,5,small offer,2497,4.7050661968439,-0.07919596200316115,4.0,-4.079195962003161,0.024429315178213857,-94.93563398777944,-27.952555855145174,38
21,5,above the fee cap,2497,4.7050661968439,-0.07919596200316115,0.2205678226341351,-0.29976378463729625,0.4541449739687625,-6.976439770533348,-2.243537744240294,38
21,6,small offer,2497,5.45467975276863,0.06221226261504015,4.0,-3.937787737384959,0.034441329595514616,-88.25540714137887,-26.683890901070683,36
21,6,above the fee cap,2497,5.45467975276863,0.06221226261504015,0.2205678226341351,-0.15835556001909495,0.4633560272326792,-3.5491335121753953,-1.2640338986978263,36
21,7,small offer,2497,6.289242956588225,0.2704869373921709,4.0,-3.7295130626078294,0.04445334401281538,-83.62648403055744,-20.86035996629142,38
