world,status,year_max,year_min,all_max,all_min,d24_max,d24_min,month_max,month_min,week_max,week_min,region,snapshot_online,created,daily_avg_all,n_days_pop,pop_first_date,daily_avg_year,daily_avg_90d,bias_factor
Sonira,ok,139,25,405,25,71,7,113,0,88,0,Europe,67,2025-05-21,75.32407407407408,432,2025-05-23,53.44972067039106,36.50588235294118,0.7977570249312098
Stralis,ok,40,11,81,9,36,6,52,0,37,0,Oceania,13,2024-04-10,19.563025210084035,833,2024-04-11,17.170391061452513,18.67058823529412,1.3207993124194242
Talera,ok,440,148,802,93,558,66,607,0,612,0,North America,337,2004-03-30,288.1132267936076,2941,2018-04-24,262.62849162011173,271.4823529411765,0.7793130315136847
Tempestera,ok,60,15,60,15,54,5,112,0,128,0,North America,19,2025-11-06,23.984848484848484,264,2025-11-07,23.984848484848484,23.305882352941175,1.2623604465709728
Terribra,ok,176,34,176,34,184,6,247,0,184,0,South America,113,2025-11-06,80.03030303030303,264,2025-11-07,80.03030303030303,89.7764705882353,0.7082327701796728
Thyria,ok,516,125,516,100,394,75,625,51,452,51,Europe,392,2005-02-16,185.95704057279235,1676,2021-12-08,218.18715083798884,217.28235294117647,0.5565998745867062
Tornabra,ok,241,67,756,25,240,14,321,0,268,0,South America,134,2023-08-23,121.68968779564806,1057,2023-08-25,116.55307262569832,122.88235294117646,0.8697990494455099
Unebra,ok,291,26,688,26,257,17,392,0,274,0,South America,130,2024-05-15,102.38972431077694,798,2024-05-16,86.94413407821229,137.31764705882352,0.6688010313708638
Ustebra,ok,592,239,592,126,642,61,835,0,708,0,South America,441,2023-08-28,273.27324478178366,1054,2023-08-31,345.2932960893855,368.83529411764704,0.7829779956675408
Venebra,ok,293,86,450,70,398,29,403,0,439,0,South America,193,2019-02-06,166.5840874811463,2652,2019-02-11,150.41340782122904,158.0705882352941,0.77934408197528
Victoris,ok,109,26,324,26,71,8,147,0,85,0,Oceania,18,2024-04-10,54.678271308523406,833,2024-04-11,39.212290502793294,40.95294117647059,2.1784605834885165
Vunira,ok,551,156,728,88,440,90,713,0,484,0,Europe,372,2003-07-15,233.3909702209414,3123,2017-10-21,239.81005586592178,245.98823529411766,0.6446506878116177
Wintera,ok,409,142,717,119,411,62,534,0,476,0,North America,248,2003-11-05,245.0873852431146,2941,2018-04-24,234.72067039106145,236.52941176470588,0.9464543160929897
Xybra,ok,119,24,421,24,100,8,125,0,112,0,South America,52,2025-02-19,85.87762906309752,523,2025-02-21,54.9804469273743,47.71764705882353,1.0573162870648904
Xyla,ok,376,85,376,77,280,37,455,26,297,29,Europe,219,2024-09-09,129.29282576866765,683,2024-09-10,136.25977653631284,141.94117647058823,0.6221907604397847
Xymera,ok,193,63,193,63,136,16,245,0,182,0,North America,82,2025-11-06,103.89772727272727,264,2025-11-07,103.89772727272727,95.83529411764705,1.2670454545454544
Yonabra,ok,313,86,411,64,374,18,446,0,402,0,South America,209,2020-05-27,157.95776566757493,2202,2020-05-28,158.2486033519553,172.28235294117647,0.7571703509662933
Yovera,ok,371,147,371,78,350,57,474,17,371,17,North America,210,2023-08-28,160.98481973434536,1054,2023-08-31,199.53072625698323,207.8,0.950146315509444
Yubra,ok,186,53,750,53,181,7,265,0,216,0,South America,94,2024-02-14,121.03273137697516,886,2024-02-16,82.53072625698324,92.05882352941177,0.8779864495423749
Zuna,ok,17,4,52,4,16,1,28,0,21,0,Europe,8,2004-06-29,11.171749598715891,3115,2017-10-28,8.047486033519553,8.047058823529412,1.005935754189944
Zunera,ok,23,7,54,5,20,0,31,0,22,0,North America,9,2004-06-29,16.584269662921347,3115,2017-10-28,10.776536312849162,10.094117647058823,1.1973929236499068
