model_type,series,horizon_days,lag_or_window_days,coefficient,std_error_two_way,t_stat,p_value,r2_within,cluster_variance_floor_applied,n,n_worlds,n_dates,date_start,date_end
shock_lag,realized_25,30,1,-0.002946554427730916,0.002209636211799901,-1.3335020543181377,0.1823671017940135,0.02072631389668589,True,12127,61,203,2025-12-07,2026-06-30
shock_lag,realized_50,30,1,-0.0033126768613995963,0.0027533219527083224,-1.2031563755706305,0.22891581284706164,0.020711668756729584,True,12127,61,203,2025-12-07,2026-06-30
shock_lag,realized_75,30,1,-0.003350038534885078,0.0030733030943499505,-1.0900449555541352,0.2756933415587286,0.020690914418766915,True,12127,61,203,2025-12-07,2026-06-30
shock_lag,realized_100,30,1,-0.0032955934834154143,0.0032715248439628137,-1.0073570095293687,0.3137632427007494,0.020673581125044027,True,12127,61,203,2025-12-07,2026-06-30
shock_lag,kill_count,1,7,0.001309629156401613,0.0020380599288911255,0.642586185929361,0.5204926490281003,0.014794978621696542,False,13530,61,227,2025-12-13,2026-07-29
shock_lag,direct_coin,1,7,0.0005376456854513919,0.0006398176843322422,0.8403107613577702,0.4007341692168974,0.014821808456177865,False,13530,61,227,2025-12-13,2026-07-29
shock_lag,potential_max,1,7,0.0011326206856991216,0.0015288418029507965,0.7408357643760565,0.4587930272647426,0.014817684315765578,False,13530,61,227,2025-12-13,2026-07-29
shock_lag,realized_25,1,7,0.0009099195704105989,0.0011451555796474697,0.7945816154436526,0.4268569160868775,0.01482272424761033,False,13530,61,227,2025-12-13,2026-07-29
shock_lag,realized_50,1,7,0.0010567860531291425,0.0013713528964536092,0.7706156860586701,0.4409347607543165,0.014822363271092986,False,13530,61,227,2025-12-13,2026-07-29
shock_lag,realized_75,1,7,0.0011121177247617917,0.001476321600092852,0.7533031588048607,0.45126776106086663,0.014820080182785689,False,13530,61,227,2025-12-13,2026-07-29
shock_lag,realized_100,1,7,0.0011326206856991216,0.0015288418029507965,0.7408357643760565,0.4587930272647426,0.014817684315765578,False,13530,61,227,2025-12-13,2026-07-29
shock_lag,kill_count,7,7,0.0019558933979502706,0.003473165883815568,0.5631442503407167,0.573336661588574,0.01822499282916601,True,13164,61,221,2025-12-13,2026-07-23
shock_lag,direct_coin,7,7,0.00021997907911223486,0.001053586178429493,0.20879077916544259,0.8346115698626464,0.018182227227718117,True,13164,61,221,2025-12-13,2026-07-23
shock_lag,potential_max,7,7,0.0012743266970346994,0.0027007505653278544,0.4718416848243829,0.6370397946932915,0.018214960358644117,True,13164,61,221,2025-12-13,2026-07-23
shock_lag,realized_25,7,7,0.0007152789361103022,0.001969816754897978,0.3631195309572582,0.7165155953692609,0.018196617683196137,True,13164,61,221,2025-12-13,2026-07-23
shock_lag,realized_50,7,7,0.0010086125278597636,0.0023868464279432683,0.4225711868395652,0.6726081524416885,0.018205864508455294,True,13164,61,221,2025-12-13,2026-07-23
shock_lag,realized_75,7,7,0.0011749306103221446,0.002591047844034092,0.4534577055485222,0.6502191920383875,0.01821145321495876,True,13164,61,221,2025-12-13,2026-07-23
shock_lag,realized_100,7,7,0.0012743266970346994,0.0027007505653278544,0.4718416848243829,0.6370397946932915,0.018214960358644117,True,13164,61,221,2025-12-13,2026-07-23
shock_lag,kill_count,30,7,0.0031633461814024673,0.005064340019846764,0.6246314759683501,0.5322129563550901,0.02090788694325396,True,11761,61,198,2025-12-13,2026-06-30
