world,status,snapshot_online,region,pvp_type,premium_only,transfer_type,battleye_protected,battleye_date,game_world_type,tournament_world_type,snapshot_ts_utc,created,record_online,record_date,guilds,people_in_guilds,ach_points,is_merge_destination,merge_date,predecessor_worlds,n_predecessors,first_obs,last_obs,n_world_days,created_in_window,launch_in_window,age_at_first_obs_days,age_years_at_window_end
Monstera,online,42,North America,Retro Hardcore PvP,False,regular,True,release,regular,,04:45,2025-11-06,130.0,2025-11-09 05:03:00,7,1093,150207,True,2025-11-06,Gravitera; Wildera,2.0,2025-11-07,2026-07-30,266,True,False,1,0.7419575633127995
Monza,online,353,Europe,Optional PvP,False,regular,True,2018-04-19,regular,,04:45,2006-07-13,887.0,2020-05-01 20:58:00,44,2433,545105,True,2018-04-19,Beneva; Candia; Olympa,3.0,2025-01-01,2026-07-31,577,False,False,6747,20.060232717316907
Mystera,online,3,North America,Retro Open PvP,False,blocked,True,release,regular,,04:45,2025-08-27,206.0,2025-09-02 05:47:00,2,53,2478,False,,,,2025-09-05,2026-07-29,328,True,True,9,0.9363449691991786
Nefera,online,302,North America,Optional PvP,False,regular,True,2018-04-19,regular,,04:45,2005-05-24,882.0,2020-05-04 02:51:00,89,5195,1020874,True,2018-04-19,Honera; Unitera,2.0,2024-01-06,2026-08-02,936,False,False,6801,21.196440793976727
Nevia,online,566,Europe,Optional PvP,False,regular,True,release,regular,,04:45,2023-08-28,1051.0,2026-03-06 19:55:00,63,2120,332441,True,2023-08-28,Famosa; Karna; Olima,3.0,2025-01-01,2026-08-03,580,True,False,492,2.9349760438056127
Noctalia,online,79,Europe,Open PvP,False,regular,True,release,regular,,04:45,2025-02-19,634.0,2025-02-19 17:21:00,8,353,58453,False,,,,2025-09-04,2026-07-29,329,True,True,197,1.4537987679671458
Oceanis,online,30,Oceania,Optional PvP,False,regular,True,2024-04-10,regular,,04:45,2024-04-10,100.0,2024-04-10 12:00:00,14,479,92479,False,,,,2024-04-10,2026-08-03,846,True,True,0,2.316221765913758
Ombra,online,181,South America,Open PvP,False,regular,True,release,regular,,04:45,2018-04-10,1050.0,2018-05-07 03:05:00,28,1928,300940,False,,,,2025-09-04,2026-08-04,335,False,False,2704,8.317590691307323
Opulera,online,59,North America,Open PvP,False,blocked,True,release,regular,,04:45,2026-02-18,506.0,2026-02-19 02:55:00,16,668,37856,False,,,,2026-05-07,2026-08-03,89,True,True,78,0.45722108145106094
Ourobra,online,231,South America,Open PvP,False,regular,True,release,regular,,04:45,2024-09-09,622.0,2025-05-03 02:31:00,39,2354,374087,True,2024-09-09,Bombra; Utobra,2.0,2025-01-01,2026-08-04,565,True,False,114,1.9000684462696784
Pacera,online,214,North America,Optional PvP,False,regular,True,2017-09-12,regular,,04:45,2004-03-30,1052.0,2009-05-28 00:30:00,89,4116,732653,False,,,,2025-01-01,2026-08-01,578,False,False,7582,22.34633812457221
Peloria,online,349,Europe,Open PvP,False,regular,True,2017-10-19,regular,,04:45,2001-12-19,1050.0,2021-03-22 21:04:00,68,7522,1241208,True,2017-10-19,Efidia; Iona; Nika; Quilia,4.0,2024-03-01,2026-08-01,879,False,False,8108,24.62422997946612
Penumbra,online,6,South America,Retro Open PvP,False,blocked,True,release,regular,,04:45,2025-08-27,725.0,2025-09-08 03:02:00,2,100,5677,False,,,,2025-09-04,2026-07-27,327,True,True,8,0.9363449691991786
Premia,online,187,Europe,Open PvP,True,regular,True,2017-09-05,regular,,04:45,2002-04-03,531.0,2013-08-08 17:30:00,43,2917,439538,False,,,,2025-09-03,2026-08-02,178,False,False,8554,24.33675564681725
Quelibra,online,277,South America,Open PvP,False,regular,True,2017-12-12,regular,,04:45,2017-12-12,1055.0,2020-06-03 00:46:00,51,3075,633577,False,,,,2025-09-04,2026-08-03,334,False,False,2823,8.643394934976044
Quidera,online,183,North America,Open PvP,False,regular,True,release,regular,,04:45,2024-09-09,488.0,2025-03-10 02:05:00,49,3909,503549,True,2024-09-09,Axera; Pulsera,2.0,2025-01-01,2026-08-03,580,True,False,114,1.9000684462696784
Quintera,online,153,North America,Open PvP,False,regular,True,2017-10-19,regular,,04:45,2005-07-06,729.0,2020-07-04 04:44:00,35,5121,744146,True,2017-10-19,Danera; Hydera; Neptera,3.0,2025-09-04,2026-08-03,334,False,False,7365,21.078713210130047
Rasteibra,online,246,South America,Open PvP,False,regular,True,release,regular,,04:45,2023-08-28,609.0,2025-07-01 02:32:00,28,2201,338986,True,2023-08-28,Xandebra; Zenobra,2.0,2025-01-01,2026-08-04,581,True,False,492,2.9349760438056127
Refugia,online,382,Europe,Optional PvP,False,regular,True,2017-09-12,regular,,04:45,2005-07-20,1050.0,2009-05-28 20:35:00,51,2282,601216,False,,,,2024-12-31,2026-08-02,580,False,False,7104,21.0403832991102
Retalia,online,39,Europe,Retro Hardcore PvP,False,regular,True,release,regular,,04:45,2023-08-28,380.0,2024-01-14 21:28:00,7,876,139024,True,2023-08-28,Bastia; Versa,2.0,2025-09-04,2026-07-30,330,True,False,738,2.9349760438056127
Secura,online,829,Europe,Optional PvP,False,regular,True,2017-09-05,regular,,04:45,2002-11-04,1053.0,2026-03-06 19:12:00,98,4204,820374,False,,,,2024-01-29,2026-08-03,915,False,False,7756,23.748117727583846
Serdebra,online,249,South America,Open PvP,False,regular,True,2017-05-17,regular,,04:45,2016-11-22,1052.0,2016-11-29 01:15:00,45,2877,581105,False,,,,2024-12-31,2026-08-04,582,False,False,2961,9.697467488021903
Solidera,online,227,North America,Open PvP,False,regular,True,2018-04-19,regular,,04:45,2002-10-07,893.0,2020-05-04 05:00:00,85,8494,1093696,True,2018-04-19,Amera; Silvera; Zanera,3.0,2025-01-01,2026-08-03,580,False,False,8122,23.824777549623544
Sombra,online,21,South America,Retro Open PvP,False,regular,True,release,regular,,04:45,2025-11-06,99.0,2025-11-28 02:22:00,1,724,49798,True,2025-11-06,Ambra; Quebra,2.0,2025-11-07,2026-07-31,267,True,False,1,0.7419575633127995
Sonira,online,67,Europe,Optional PvP,False,regular,True,release,regular,,04:45,2025-05-21,748.0,2025-05-21 14:40:00,9,176,25454,False,,,,2025-08-29,2026-07-28,334,True,True,100,1.2046543463381245
Stralis,online,13,Oceania,Optional PvP,False,regular,True,release,regular,,04:45,2024-04-10,127.0,2024-04-10 12:00:00,3,417,33825,False,,,,2025-08-29,2026-07-28,334,True,True,506,2.316221765913758
Talera,online,337,North America,Open PvP,False,regular,True,2018-04-19,regular,,04:45,2004-03-30,1056.0,2020-05-04 06:15:00,76,8550,1181511,True,2018-04-19,Fortera; Justera; Shivera,3.0,2025-01-01,2026-08-03,580,False,False,7582,22.34633812457221
Tempestera,online,19,North America,Retro Open PvP,False,regular,True,release,regular,,04:45,2025-11-06,154.0,2026-02-08 20:24:00,12,1120,105041,True,2025-11-06,Fibera; Flamera; Temera,3.0,2025-11-07,2026-08-01,268,True,False,1,0.7419575633127995
Terribra,online,113,South America,Retro Hardcore PvP,False,regular,True,release,regular,,04:45,2025-11-06,211.0,2026-03-04 01:16:00,13,3073,266237,True,2025-11-06,Jacabra; Obscubra,2.0,2025-11-07,2026-08-03,270,True,False,1,0.7419575633127995
Thyria,online,392,Europe,Open PvP,False,regular,True,2021-12-06,regular,,04:45,2005-02-16,770.0,2026-03-08 20:50:00,64,4410,661023,True,2021-12-06,Estela; Kenora,2.0,2025-01-01,2026-07-31,577,False,False,7259,21.462012320328544
Tornabra,online,134,South America,Open PvP,False,regular,True,release,regular,,04:45,2023-08-23,1331.0,2023-08-23 15:59:00,13,1012,217245,False,,,,2025-09-04,2026-08-03,334,True,True,743,2.948665297741273
Unebra,online,130,South America,Open PvP,False,regular,True,release,regular,,04:45,2024-05-15,947.0,2024-05-15 16:48:00,9,939,231332,False,,,,2025-09-03,2026-07-30,331,True,True,476,2.220396988364134
Ustebra,online,441,South America,Optional PvP,False,regular,True,release,regular,,04:45,2023-08-28,852.0,2025-05-03 01:34:00,48,2843,479821,True,2023-08-28,Reinobra; Tembra,2.0,2024-12-31,2026-07-30,561,True,False,491,2.9349760438056127
Venebra,online,193,South America,Optional PvP,False,regular,True,release,regular,,04:45,2019-02-06,631.0,2021-05-11 02:53:00,27,1218,267267,False,,,,2025-08-29,2026-08-01,338,False,False,2396,7.490759753593429
Victoris,online,18,Oceania,Open PvP,False,regular,True,release,regular,,04:45,2024-04-10,432.0,2024-04-10 13:19:00,20,452,68271,False,,,,2024-04-16,2026-07-29,736,True,True,6,2.316221765913758
Vunira,online,372,Europe,Open PvP,False,regular,True,2017-10-19,regular,,04:45,2003-07-15,1050.0,2020-05-01 22:07:00,65,5435,886549,True,2017-10-19,Rowana; Yanara; Zeluna,3.0,2023-11-01,2026-07-31,993,False,False,7414,23.055441478439427
Wintera,online,248,North America,Open PvP,False,regular,True,2018-04-19,regular,,04:45,2003-11-05,1023.0,2020-05-04 03:25:00,81,6185,904489,True,2018-04-19,Julera; Solera; Xantera,3.0,2024-12-31,2026-08-02,564,False,False,7727,22.746064339493497
Xybra,online,52,South America,Open PvP,False,regular,True,release,regular,,04:45,2025-02-19,690.0,2025-02-19 15:11:00,3,606,79610,False,,,,2025-09-04,2026-07-29,329,True,True,197,1.4537987679671458
Xyla,online,219,Europe,Open PvP,False,regular,True,release,regular,,04:45,2024-09-09,524.0,2026-03-06 20:53:00,35,1917,282765,True,2024-09-09,Castela; Kendria,2.0,2025-01-01,2026-07-29,575,True,False,114,1.9000684462696784
Xymera,online,82,North America,Open PvP,False,regular,True,release,regular,,04:45,2025-11-06,258.0,2026-03-07 05:16:00,20,1195,163816,True,2025-11-06,Runera; Vandera,2.0,2025-11-07,2026-08-03,270,True,False,1,0.7419575633127995
Yonabra,online,209,South America,Optional PvP,False,regular,True,2020-05-27,regular,,04:45,2020-05-27,604.0,2021-05-08 03:48:00,40,1681,611934,False,,,,2025-09-04,2026-08-02,333,False,False,1926,6.187542778918549
Yovera,online,210,North America,Optional PvP,False,regular,True,release,regular,,04:45,2023-08-28,518.0,2026-03-08 03:52:00,57,2993,364486,True,2023-08-28,Marbera; Optera,2.0,2025-08-29,2026-08-01,338,True,False,732,2.9349760438056127
Yubra,online,94,South America,Optional PvP,False,regular,True,release,regular,,04:45,2024-02-14,1347.0,2024-02-14 10:00:00,9,499,127769,False,,,,2025-08-28,2026-08-03,341,True,True,561,2.4695414099931554
Zuna,online,8,Europe,Hardcore PvP,False,locked,True,2025-02-18,experimental,,04:45,2004-06-29,293.0,2024-03-02 18:06:00,1,182,60357,True,2017-10-26,Aurora; Calva; Inferna,3.0,2026-05-08,2026-08-02,87,False,False,7983,22.09719370294319
Zunera,online,9,North America,Hardcore PvP,False,locked,True,2025-02-18,experimental,,04:45,2004-06-29,176.0,2017-10-31 03:05:00,2,247,68068,True,2017-10-26,Aurera; Calvera; Dolera,3.0,2026-05-07,2026-08-02,88,False,False,7982,22.09719370294319
