target,horizon,model,rmse,mae,r2_oos,dir_acc,dm_t,folds,dm_z,dm_p,folds_better,bh_threshold,beats_rw
rel,7,XGBoost,0.019219330209619204,0.014107161991748671,0.03467540495363478,0.5774168828785003,3.027163179255052,6,7.415005157316166,1.2168044349891716e-13,5.0,0.029761904761904764,True
rel,30,ElasticNet,0.03275738978728115,0.02420352282433623,-1.2776080541275616,0.5230010356082435,-10.086659073601163,6,-24.70716793973693,0.0,1.0,0.008333333333333333,False
rel,30,LightGBM,0.024489137286872843,0.01818428310713292,0.013564159098474785,0.575643886183915,0.40569941646124663,6,0.9937565592749446,0.32034139970545805,4.0,0.04880952380952381,False
rel,30,MovingAvg,0.02468020642845065,0.01816216436931945,-3.700743415417188e-17,0.49131077624171,-0.7412721105432584,6,-1.8157384313869491,0.06941050576645957,0.0,0.04404761904761905,False
rel,30,Naive,0.38141888573350924,0.24063295799259235,-231.75271398128262,0.4507482067408042,-14.970694160595071,6,-36.67056178872165,0.0,0.0,0.004761904761904762,False
rel,30,RandomForest,0.023882941535207355,0.017651874965241305,0.06274928475518755,0.5810628214780991,4.877610818569061,6,11.947657669373179,0.0,6.0,0.0035714285714285713,True
rel,30,RandomWalk,0.02468020642845065,0.01816216436931945,0.0,0.0,,6,,,0.0,,False
rel,30,Ridge,0.04046126966449253,0.02832587444512806,-3.7234405863297972,0.5210517491059671,-12.830516424507898,6,-31.428218376443198,0.0,1.0,0.002380952380952381,False
rel,30,XGBoost,0.024828887209679,0.01862096152647825,-0.01771456199822058,0.5716788241703372,-0.6892230502092592,6,-1.6882447919773158,0.09136424815004696,3.0,0.045238095238095244,False
ret,1,ElasticNet,0.012419363335306582,0.008076981854682324,-0.0054946211332291646,0.5429756308847629,0.5986940424413283,6,1.4664949160254304,0.14251350522296002,4.0,0.04642857142857143,False
ret,1,LightGBM,0.012560876247300838,0.008264063547532839,-0.0357460483442141,0.5415249478698181,-1.719667336931031,6,-4.212307502811825,2.527751065084516e-05,3.0,0.036904761904761905,False
ret,1,MovingAvg,0.012379449072942106,0.007731411378695489,-0.0011697606970435908,0.48366521812212265,-2.264458362916165,6,-5.546767532922734,2.9099922693731628e-08,2.0,0.03333333333333333,False
ret,1,Naive,0.01908129340074771,0.011893209937808819,-1.2748202108621798,0.5069096049386245,-12.091212519057189,6,-29.61730104324214,0.0,0.0,0.009523809523809525,False
ret,1,RandomForest,0.012236665331459685,0.007788669777667685,0.021634994629713078,0.55571643771946,2.9801348730730197,6,7.299809803702811,2.8821389719269064e-13,6.0,0.030952380952380953,True
ret,1,RandomWalk,0.012372042824254722,0.007722617996779161,0.0,0.0033286228966250366,,6,,,0.0,,False
ret,1,Ridge,0.024183072929257407,0.015304253018879855,-7.89013732305573,0.5305296186894078,-8.214560637096355,6,-20.121482022037974,0.0,0.0,0.015476190476190477,False
ret,1,XGBoost,0.01294123098094438,0.00853453704202593,-0.11515942177859251,0.5402634557633819,-3.4857231363923034,6,-8.538243068774955,0.0,3.0,0.016666666666666666,False
ret,7,ElasticNet,0.049073599795614035,0.03292094443907146,-12.621536487452715,0.5707606313022887,-9.787357638261556,6,-23.97403214387227,0.0,0.0,0.023809523809523808,False
ret,7,LightGBM,0.022735869664644914,0.016987119515512746,0.022541500349605042,0.600750746717883,2.0215552141672783,6,4.9517787615726,7.353818158861714e-07,4.0,0.03571428571428572,True
ret,7,MovingAvg,0.02339868594067877,0.01732992529610088,-0.019086369546789533,0.4466040527370458,-6.166331500746132,6,-15.104365761678453,0.0,2.0,0.007142857142857143,False
ret,7,Naive,0.09485269124861309,0.06112753135367234,-14.70360093364894,0.4674515110001167,-16.15251676597543,6,-39.56542413839013,0.0,0.0,0.0011904761904761906,False
ret,7,RandomForest,0.022523911826699185,0.01680923295000204,0.05049717655388506,0.5987429512767549,3.370892268612218,6,8.256966035992743,2.220446049250313e-16,5.0,0.026190476190476195,True
ret,7,RandomWalk,0.023179658764328467,0.01713804045670333,0.0,0.00012594477661444895,,6,,,0.0,,False
ret,7,Ridge,0.07254783434645297,0.04667467374188675,-40.92276745452623,0.5563328488884272,-12.780374065507806,6,-31.30539518239351,0.0,0.0,0.005952380952380952,False
ret,7,XGBoost,0.022484844996302714,0.016750043732375135,0.04843787786887769,0.6002322018691824,3.120921600261154,6,7.64466544787016,2.0872192862952943e-14,4.0,0.027380952380952384,True
ret,30,ElasticNet,0.08297272462914701,0.058845128200871316,-8.562631446776022,0.652023199347873,-13.956710725365967,6,-34.18681976477591,0.0,1.0,0.014285714285714285,False
ret,30,LightGBM,0.040413518937642834,0.031592719480067255,-0.09558151981984885,0.6271975746560131,1.3617041436677197,6,3.3354803326194316,0.0008515217688767063,3.0,0.04047619047619048,False
ret,30,MovingAvg,0.043661474999916024,0.03353037209320019,-0.13442728670892998,0.37958450705189395,-6.916852376467755,6,-16.94275894850322,0.0,0.0,0.01785714285714286,False
ret,30,Naive,0.38094868977345886,0.24112880615976617,-101.02616227405105,0.4846591716668633,-14.832910044162299,6,-36.33306100880113,0.0,0.0,0.022619047619047622,False
ret,30,RandomForest,0.03937886145942713,0.030957318926598146,-0.07358802128260278,0.6069672618880744,2.196379506248901,6,5.380009071815865,7.448208538818335e-08,3.0,0.034523809523809526,False
ret,30,RandomWalk,0.04106125586069952,0.031380811085127795,0.0,0.0003015330048359467,,6,,,0.0,,False
ret,30,Ridge,0.1006363160017542,0.06896651111887918,-16.50241379162874,0.6417813952753624,-14.659558294573728,6,-35.90843767629041,0.0,1.0,0.025,False
ret,30,XGBoost,0.03991246652342672,0.0312921575894328,-0.07737880025756905,0.6261025426894224,1.4368979666704362,6,3.519666830785239,0.0004320891970270857,3.0,0.039285714285714285,False
