world,n_sell_orders,n_buy_orders,update_time,best_ask,ask_depth_tc,anon_sell,best_bid,bid_depth_tc,anon_buy,buy_orders_below_2000,buy_depth_below_2000,mid,quoted_spread_pct,order_count_ratio,depth_ratio
Ourobra,10,42,1785296125.6653059,40934,45150,1.0,39228,171750,0.9523809523809523,2,24775,40081.0,4.256380828821636,4.2,3.8039867109634553
Pacera,14,14,1785234052.5113773,43677,39200,0.9285714285714286,42821,238175,1.0,3,170625,43249.0,1.979236514139055,1.0,6.075892857142857
Peloria,18,51,1785230498.8382301,38992,94625,1.0,37155,400250,1.0,1,39300,38073.5,4.824878196120661,2.8333333333333335,4.2298546895640685
Penumbra,9,12,1785178439.5977132,24481,1225,1.0,20038,3025,0.9166666666666666,1,25,22259.5,19.960017071362792,1.3333333333333333,2.4693877551020407
Premia,13,15,1785360196.4665174,38900,7050,1.0,37700,125150,0.8666666666666667,1,5200,38300.0,3.1331592689295036,1.1538461538461537,17.75177304964539
Quelibra,1,48,1785363654.1498477,41999,39700,1.0,39111,294050,0.9166666666666666,2,100000,40555.0,7.1211934410060405,48.0,7.406801007556675
Quidera,6,50,1785216085.6818016,39749,37500,1.0,39201,176700,0.94,3,41375,39475.0,1.388220392653578,8.333333333333334,4.712
Quintera,11,36,1785396075.5053043,40362,24525,1.0,39055,130925,0.9444444444444444,4,27475,39708.5,3.2914867093947144,3.272727272727273,5.338430173292559
Rasteibra,4,49,1785293100.3775215,40755,49850,1.0,39351,315100,0.9387755102040817,4,135375,40053.0,3.5053554040895816,12.25,6.320962888665998
Refugia,9,25,1785324114.8593543,43600,125375,1.0,42020,100075,1.0,2,44800,42810.0,3.6907264657790235,2.7777777777777777,0.7982053838484546
Retalia,12,22,1784748081.7411594,38450,50075,1.0,34503,96700,0.8636363636363636,1,47575,36476.5,10.820665359889244,1.8333333333333333,1.9311033449825261
Secura,11,31,1785367321.3552368,44966,115100,1.0,43231,556550,0.9032258064516129,9,163525,44098.5,3.934374185062984,2.8181818181818183,4.835360556038228
Serdebra,4,51,1785302486.4464633,40742,51225,1.0,39400,673150,0.7450980392156863,15,543325,40071.0,3.349055426617754,12.75,13.141044411908249
Solidera,13,33,1785380528.2773058,42437,58825,0.9230769230769231,39511,222400,1.0,3,80925,40974.0,7.14111387709279,2.5384615384615383,3.780705482362941
Sombra,4,34,1784834614.26761,43699,725,1.0,40015,11900,1.0,1,3950,41857.0,8.80139522660487,8.5,16.413793103448278
Sonira,4,34,1785259876.7623217,41995,1800,1.0,39333,7450,0.9705882352941176,1,250,40664.0,6.546330906944718,8.5,4.138888888888889
Stralis,5,23,1785266492.7594895,40961,900,1.0,39001,6400,0.8695652173913043,0,0,39981.0,4.902328606087892,4.6,7.111111111111111
Talera,10,46,1785201729.6901245,39842,20375,1.0,37686,272100,1.0,3,43300,38764.0,5.561861520998865,4.6,13.354601226993864
Tempestera,14,16,1784920999.3561,38390,2550,1.0,34101,7975,0.9375,3,4275,36245.5,11.833193086038268,1.1428571428571428,3.127450980392157
Terribra,6,30,1785165823.8412752,38500,36500,1.0,37405,209225,0.8666666666666667,2,69750,37952.5,2.8851854291548644,5.0,5.732191780821918
Thyria,10,28,1785147691.082207,39790,77775,1.0,38721,160475,1.0,6,104300,39255.5,2.723185286138248,2.8,2.0633236901317904
Tornabra,2,32,1785327675.0803137,41997,40075,1.0,39200,65800,0.90625,2,10425,40598.5,6.889417096690764,16.0,1.6419213973799127
Unebra,4,52,1785421274.9009387,40967,52325,1.0,39642,111850,0.9230769230769231,4,15175,40304.5,3.287474103387959,13.0,2.1376015289058765
Ustebra,6,68,1784925062.7861392,39784,86600,1.0,38804,446625,0.8382352941176471,14,234950,39294.0,2.4940194431719855,11.333333333333334,5.157332563510392
Venebra,5,36,1785154975.1343806,39797,27825,1.0,38811,402850,0.7777777777777778,8,113150,39304.0,2.508650519031142,7.2,14.477987421383649
Victoris,16,29,1785351135.4104767,37996,4475,1.0,35102,3650,0.896551724137931,0,0,36549.0,7.918137295138034,1.8125,0.8156424581005587
Vunira,13,35,1785144104.9273078,39394,100350,1.0,38206,211825,0.9714285714285714,3,40550,38800.0,3.061855670103093,2.6923076923076925,2.1108619830592925
Wintera,10,37,1785389437.3785138,39649,35500,0.9,38387,367100,0.8648648648648649,7,151200,39018.0,3.234404633758778,3.7,10.340845070422535
Xybra,11,24,1785342073.2913136,40700,7750,1.0,39203,12375,1.0,0,0,39951.5,3.747043289989112,2.1818181818181817,1.596774193548387
Xyla,15,29,1785334885.6650088,39800,83550,0.8666666666666667,38239,164525,0.8275862068965517,2,52050,39019.5,4.000563820653776,1.9333333333333333,1.96918013165769
Xymera,8,46,1785331554.5323775,41599,48075,0.875,39630,262650,0.9130434782608695,4,101800,40614.5,4.848022258060545,5.75,5.463338533541342
Yonabra,8,24,1785320483.2548926,43682,101825,1.0,42762,343675,0.8333333333333334,3,103050,43222.0,2.1285456480496046,3.0,3.3751534495457896
Yovera,4,27,1785237699.2081282,40392,23200,1.0,38701,174725,0.9629629629629629,2,53400,39546.5,4.275978910902356,6.75,7.53125
Yubra,5,23,1785169517.7195518,39300,15275,1.0,37678,108525,0.9130434782608695,3,35600,38489.0,4.214191067577749,4.6,7.104746317512275
Zuna,10,18,1785000845.4487138,49870,4775,1.0,44667,69750,1.0,1,64000,47268.5,11.007330463204882,1.8,14.607329842931938
Zunera,6,23,1785004071.974751,57877,2850,1.0,50201,18650,0.8695652173913043,2,4550,54039.0,14.20455596883732,3.8333333333333335,6.543859649122807
