world,model,n_test,rmse,r2_oos,dm_t_vs_rw
Nevia,ARIMA,171,0.02945322947759823,-2.4591967249182893,-4.20004009574729
Nevia,StructuralTS,171,0.01879836879927568,-0.40912574672960855,-1.0345712800633515
Ombra,RandomWalk,96,0.020195336909346585,0.0,
Ombra,ARIMA,96,0.02469864100821257,-0.4956979903253871,-1.4194684568758391
Ombra,StructuralTS,96,0.02446293093860041,-0.4672859977977548,-1.0154834040278886
Ombra,Prophet,96,0.02382300497495221,-0.39152456501449073,-0.8597251773185532
Ourobra,RandomWalk,166,0.016449744501993418,0.0,
Ourobra,ARIMA,166,0.03071950662485374,-2.487467419165772,-3.683126593586887
Ourobra,StructuralTS,166,0.025203592544840375,-1.3475053256031426,-2.8573573102744043
Pacera,RandomWalk,170,0.022694236883815697,0.0,
Pacera,ARIMA,170,0.025225999884223107,-0.23556503934231077,-0.9342882343990485
Pacera,StructuralTS,170,0.026301868188940102,-0.34320415475681254,-1.4638574165249718
Peloria,RandomWalk,261,0.018037883371300235,0.0,
Peloria,ARIMA,261,0.0687409214652747,-13.52310742992837,-7.612516540196399
Peloria,StructuralTS,261,0.11173902610289678,-37.374136364705656,-8.068148244040648
Quelibra,RandomWalk,97,0.019793096375774102,0.0,
Quelibra,ARIMA,97,0.032383074456685354,-1.6767553425389359,-2.922607151239802
Quelibra,StructuralTS,97,0.03498724927427137,-2.124583390638948,-3.2676577264211732
Quelibra,Prophet,97,0.024769818955588045,-0.5660952991964816,-1.4102907948571846
Quidera,RandomWalk,171,0.026216807347400867,0.0,
Quidera,ARIMA,171,0.041743636791284025,-1.535250987932531,-3.5076310731917597
Quidera,StructuralTS,171,0.03657400198098086,-0.946190564889202,-2.5658842049114985
Quintera,RandomWalk,97,0.020076197685401392,0.0,
Quintera,ARIMA,97,0.024104872807333113,-0.4416065988011957,-0.9794093988270899
Quintera,StructuralTS,97,0.029391940404159714,-1.1433524410749993,-1.2519290543955421
Rasteibra,RandomWalk,171,0.017525395562204827,0.0,
Rasteibra,ARIMA,171,0.029048875724989247,-1.7474069907212324,-3.7158565854989654
Rasteibra,StructuralTS,171,0.029085375068416637,-1.7543154543228514,-1.543244540440256
Rasteibra,Prophet,171,0.07041697911398341,-15.144296371030702,-3.489650126322005
Refugia,RandomWalk,171,0.01676845081848289,0.0,
Refugia,ARIMA,171,0.018972942333924263,-0.28021670727536385,-0.8795943880675139
Refugia,StructuralTS,171,0.01993050016712863,-0.41270184559116574,-0.9395509579998329
Refugia,Prophet,171,0.11970253076480084,-49.9589865023184,-4.64589395492979
Retalia,RandomWalk,94,0.026437579652903113,0.0,
Retalia,ARIMA,94,0.05109523416730761,-2.73523044960572,-4.8680504087857255
Retalia,StructuralTS,94,0.08433551885927722,-9.176013067506643,-8.569355896361849
Secura,RandomWalk,271,0.01463018231369482,0.0,
Secura,ARIMA,271,0.04708754854842439,-9.358877224154892,-7.7067605660158085
Secura,StructuralTS,271,0.06754769549633619,-20.316779732014574,-8.624558506284831
Secura,Prophet,271,0.13264773622192602,-81.20537392201119,-7.912270719302803
Serdebra,RandomWalk,171,0.019619212951113654,0.0,
Serdebra,ARIMA,171,0.03011647674160122,-1.3563791129446248,-3.265827351673179
Serdebra,StructuralTS,171,0.0358219148854187,-2.3337607799687614,-4.224251321332123
Solidera,RandomWalk,171,0.014852759523161821,0.0,
Solidera,ARIMA,171,0.02460452697496918,-1.7441998801756284,-4.49257333949997
