feature,x,partial_dependence
turnover_7,518.0,-0.00012450142900649323
log_day_sold,2.890372,0.0001393924398835397
log_day_sold,3.0327056315789473,0.0001393924398835397
log_day_sold,3.175039263157895,0.0001393924398835397
log_day_sold,3.317372894736842,0.0001393924398835397
log_day_sold,3.45970652631579,0.0001393924398835397
log_day_sold,3.602040157894737,0.0001393924398835397
log_day_sold,3.744373789473684,0.0001393924398835397
log_day_sold,3.886707421052632,0.0001393924398835397
log_day_sold,4.029041052631579,0.0001393924398835397
log_day_sold,4.171374684210527,0.00013458023550382424
log_day_sold,4.313708315789474,0.00012182759976575609
log_day_sold,4.456041947368421,0.00010971227072983233
log_day_sold,4.598375578947369,5.456277380023325e-05
log_day_sold,4.740709210526316,2.4671227440340244e-05
log_day_sold,4.883042842105263,-2.5734880615426948e-05
log_day_sold,5.0253764736842115,-9.967747989609648e-05
log_day_sold,5.167710105263158,-0.00012190161860616518
log_day_sold,5.310043736842106,-0.00013187555254761025
log_day_sold,5.452377368421053,-0.0001496208348439363
log_day_sold,5.594711,-0.000149862456149943
log_kills_pp,8.33625522,-0.0002743314524954812
log_kills_pp,8.375284883157894,-0.00026851751972635214
log_kills_pp,8.41431454631579,-0.00021984021076806292
log_kills_pp,8.453344209473684,-0.00015083230569471124
log_kills_pp,8.492373872631578,-5.8295524783701036e-05
log_kills_pp,8.531403535789474,0.00016854138046112785
log_kills_pp,8.570433198947368,0.00019787337742888485
log_kills_pp,8.609462862105262,0.00023273722930509992
log_kills_pp,8.648492525263158,0.00022831790829214442
log_kills_pp,8.687522188421053,0.0002227892508874494
log_kills_pp,8.726551851578947,0.00022958479877084286
log_kills_pp,8.76558151473684,0.00022365089563413293
log_kills_pp,8.804611177894737,0.00022064642094180958
log_kills_pp,8.84364084105263,0.00022064642094180958
log_kills_pp,8.882670504210525,0.00022064642094180958
log_kills_pp,8.92170016736842,0.00022064642094180958
log_kills_pp,8.960729830526315,0.00022064642094180958
log_kills_pp,8.99975949368421,0.00022064642094180958
log_kills_pp,9.038789156842105,0.00022064642094180958
log_kills_pp,9.07781882,0.00022064642094180958
log_players_online_avg,3.283005400000003,0.00011595346370886795
log_players_online_avg,3.422439063157898,0.00011595346370886795
log_players_online_avg,3.561872726315792,0.00011595346370886795
log_players_online_avg,3.701306389473687,0.00011595346370886795
log_players_online_avg,3.840740052631581,0.00011595346370886795
log_players_online_avg,3.980173715789476,0.00011595346370886795
log_players_online_avg,4.119607378947371,0.00011595346370886795
log_players_online_avg,4.259041042105265,0.00011595346370886795
log_players_online_avg,4.39847470526316,0.00011595346370886795
log_players_online_avg,4.537908368421054,0.00011595346370886795
log_players_online_avg,4.677342031578949,0.00011595346370886795
log_players_online_avg,4.816775694736844,0.000116388203963541
log_players_online_avg,4.956209357894738,0.00010409997046669262
log_players_online_avg,5.0956430210526324,-9.372960966787287e-06
log_players_online_avg,5.235076684210528,-7.440893657521338e-05
log_players_online_avg,5.374510347368421,-0.00010709716590867274
log_players_online_avg,5.513944010526316,-8.646283469621068e-05
log_players_online_avg,5.653377673684211,-2.134348847360925e-05
log_players_online_avg,5.792811336842105,5.3936440650764893e-05
log_players_online_avg,5.932245,2.370573233956917e-05
