world,cities_total,vocations_total,voc_knight,voc_paladin,voc_elite_knight,voc_monk,voc_royal_paladin,voc_elder_druid,voc_sorcerer,voc_druid,voc_master_sorcerer,voc_exalted_monk,voc_none,gender_total,female,male,account_total,free_accounts,premium_accounts,levels_total,mean_level,median_level,chars_level_100plus,chars_level_400plus,vocgrp_druid,vocgrp_paladin,vocgrp_sorcerer,vocgrp_knight,vocgrp_monk,population,premium_share,pct_level_100plus
Luminera,5935,5935,1227,647,1030,220,606,453,517,528,344,335,28,5935,1447,4488,5935,2826,3109,5935,269.4060657118787,170.0,3969,1376,981,1253,861,2257,555,5935,0.5238416175231676,0.6687447346251053
Lutabra,4686,4686,1439,601,355,280,286,310,460,554,308,76,17,4686,811,3875,4686,2999,1687,4686,181.0746905676483,132.0,2712,490,864,887,768,1794,356,4686,0.3600085360648741,0.5787451984635084
Luzibra,3368,3368,1088,384,419,363,227,168,180,163,161,199,16,3368,690,2678,3368,1417,1951,3368,103.81086698337292,45.0,1006,193,331,611,341,1507,562,3368,0.5792755344418052,0.2986935866983373
Maligna,2681,2681,748,322,288,344,210,183,117,89,225,151,4,2681,556,2125,2681,636,2045,2681,64.36404326743752,34.0,530,14,272,532,342,1036,495,2681,0.762775083923909,0.19768743006340916
Menera,5188,5188,1130,456,892,217,547,385,418,516,302,304,21,5188,1230,3958,5188,2446,2742,5188,273.6274094063223,173.0,3502,1269,901,1003,720,2022,521,5188,0.5285273708558211,0.6750192752505783
Monstera,4594,4594,1395,537,444,326,332,289,446,426,295,85,19,4594,786,3808,4594,2512,2082,4594,176.97801480191555,96.0,2270,588,715,869,741,1839,411,4594,0.45319982585981716,0.49412276882890727
Monza,5725,5725,1176,619,1023,235,697,412,408,492,324,311,28,5725,1240,4485,5725,2630,3095,5725,317.64244541484715,224.0,4218,1676,904,1316,732,2199,546,5725,0.5406113537117904,0.736768558951965
Mystera,1826,1826,514,310,79,199,72,98,214,174,92,60,14,1826,342,1484,1826,989,837,1826,51.37075575027382,29.0,240,14,272,382,306,593,259,1826,0.4583789704271632,0.13143483023001096
Nefera,7886,7886,1471,901,1376,207,879,606,635,767,492,460,92,7886,1754,6132,7886,3683,4203,7886,293.5219376109561,198.0,5566,2134,1373,1780,1127,2847,667,7886,0.5329698199340603,0.7058077605883845
Nevia,5453,5453,1049,522,1086,262,777,435,255,259,371,422,15,5453,1152,4301,5453,1864,3589,5453,302.4032642582065,196.0,3690,1617,694,1299,626,2135,684,5453,0.6581698147808546,0.6766917293233082
Noctalia,3071,3071,879,404,287,372,245,174,196,172,186,147,9,3071,537,2534,3071,1362,1709,3071,109.40507977857375,48.0,933,203,346,649,382,1166,519,3071,0.556496255291436,0.30380983393031585
Oceanis,2496,2496,610,306,385,251,237,165,137,142,135,112,16,2496,502,1994,2496,1093,1403,2496,203.77884615384616,90.0,1203,444,307,543,272,995,363,2496,0.5620993589743589,0.48197115384615385
Ombra,4931,4931,1176,422,714,262,419,547,297,345,457,281,11,4931,954,3977,4931,2082,2849,4931,245.21881971202595,154.0,3155,986,892,841,754,1890,543,4931,0.5777732711417563,0.6398296491583857
