name,level,vocation,former_world,current_world,change_date
Canhao Wax Check at Tibia.com Compare character,939,EKElite Knight,Descubra,Kalimera,2026-07-25
Thee Thiah Check at Tibia.com Compare character,936,EDElder Druid,Gentebra,Refugia,2026-07-30
Bruno Vara Mole Check at Tibia.com Compare character,934,EDElder Druid,Ferobra,Inabra,2026-07-24
Koringa Flechatorta Check at Tibia.com Compare character,934,RPRoyal Paladin,Ustebra,Venebra,2026-07-26
Mage Ti Check at Tibia.com Compare character,934,MSMaster Sorcerer,Nefera,Yonabra,2026-07-28
Tisgoo Check at Tibia.com Compare character,933,RPRoyal Paladin,Luminera,Belobra,2026-07-30
Helset Fenrir Check at Tibia.com Compare character,932,EKElite Knight,Celebra,Pacera,2026-07-24
Szarpociag Check at Tibia.com Compare character,932,MSMaster Sorcerer,Bona,Celebra,2026-07-28
Aldito Emex Check at Tibia.com Compare character,931,EDElder Druid,Solidera,Ferobra,2026-07-26
Lumbriga Loiro Check at Tibia.com Compare character,931,MSMaster Sorcerer,Unebra,Xybra,2026-07-29
Ger aldyn Check at Tibia.com Compare character,929,EDElder Druid,Nevia,Karmeya,2026-07-27
Guimsi Check at Tibia.com Compare character,927,MSMaster Sorcerer,Ourobra,Tornabra,2026-07-24
Gallo no San Check at Tibia.com Compare character,927,RPRoyal Paladin,Inabra,Vunira,2026-07-28
Smutny Koniec Check at Tibia.com Compare character,926,EDElder Druid,Xymera,Aethera,2026-07-27
Benji maxs Check at Tibia.com Compare character,922,EKElite Knight,Solidera,Wintera,2026-07-24
Odibraland Bombao Check at Tibia.com Compare character,921,EDElder Druid,Honbra,Ourobra,2026-07-25
Dzy Kingslayer Check at Tibia.com Compare character,921,EDElder Druid,Xymera,Aethera,2026-07-27
Ahoo Check at Tibia.com Compare character,920,EDElder Druid,Vunira,Premia,2026-07-28
Uh My Ek Check at Tibia.com Compare character,919,EKElite Knight,Premia,Wintera,2026-07-24
Miedziany Frazel Check at Tibia.com Compare character,918,MSMaster Sorcerer,Belobra,Refugia,2026-07-23
Damp Tim Check at Tibia.com Compare character,916,RPRoyal Paladin,Antica,Peloria,2026-07-28
Dwel Lams Check at Tibia.com Compare character,912,EKElite Knight,Jadebra,Cantabra,2026-07-23
Sagi Tarios Check at Tibia.com Compare character,911,EKElite Knight,Blumera,Kalimera,2026-07-23
Kous Bombinha Check at Tibia.com Compare character,911,MSMaster Sorcerer,Jadebra,Cantabra,2026-07-27
Met All Ovy Check at Tibia.com Compare character,904,RPRoyal Paladin,Thyria,Peloria,2026-07-30
Dalai Uno Check at Tibia.com Compare character,901,EMExalted Monk,Ourobra,Lobera,2026-07-30
Tat Ek Check at Tibia.com Compare character,900,EKElite Knight,Bona,Refugia,2026-07-28
Hoeji Thrin Check at Tibia.com Compare character,900,MSMaster Sorcerer,Pacera,Astera,2026-07-28
Vitao Ozika Check at Tibia.com Compare character,896,MSMaster Sorcerer,Citra,Noctalia,2026-07-27
Pedro Oo Check at Tibia.com Compare character,895,MSMaster Sorcerer,Yubra,Karmeya,2026-07-25
Watofo Check at Tibia.com Compare character,894,EKElite Knight,Talera,Havera,2026-07-24
Flo Targaryen Check at Tibia.com Compare character,892,MSMaster Sorcerer,Ferobra,Quelibra,2026-07-24
Kratos Demigod Check at Tibia.com Compare character,890,EKElite Knight,Peloria,Serdebra,2026-07-26
Yaakovek Check at Tibia.com Compare character,890,EKElite Knight,Calmera,Bona,2026-07-30
Monk Leads Check at Tibia.com Compare character,889,EMExalted Monk,Bona,Refugia,2026-07-28
Portalin Check at Tibia.com Compare character,887,EMExalted Monk,Talera,Solidera,2026-07-28
Rem Check at Tibia.com Compare character,882,MSMaster Sorcerer,Pacera,Secura,2026-07-23
Lord Diddan Check at Tibia.com Compare character,879,RPRoyal Paladin,Celesta,Secura,2026-07-28
Zageth Tyron Check at Tibia.com Compare character,879,EKElite Knight,Menera,Monza,2026-07-30
Vortizen Check at Tibia.com Compare character,878,RPRoyal Paladin,Ourobra,Honbra,2026-07-24
Pi Pao Check at Tibia.com Compare character,878,EDElder Druid,Yonabra,Gentebra,2026-07-24
Monk Sem Cura Check at Tibia.com Compare character,876,EMExalted Monk,Honbra,Rasteibra,2026-07-27
Netow Again Check at Tibia.com Compare character,874,RPRoyal Paladin,Terribra,Monstera,2026-07-23
King The Machine Check at Tibia.com Compare character,874,MSMaster Sorcerer,Retalia,Terribra,2026-07-25
Rayito Velozs Check at Tibia.com Compare character,873,EDElder Druid,Ignitera,Quidera,2026-07-29
Jonah Wayne Check at Tibia.com Compare character,871,EKElite Knight,Citra,Aethera,2026-07-27
Rafcio The Seeker Check at Tibia.com Compare character,869,MSMaster Sorcerer,Xyla,Citra,2026-07-23
