world,side,amount,price,value,fee_uncapped,fee_actual,eff_rate_pct,dec
Dracobra,buyers,50,30326,1516300,30326.0,30326.0,2.0,0
Dracobra,buyers,50,30312,1515600,30312.0,30312.0,2.0,0
Dracobra,buyers,75,30135,2260125,45202.5,45202.5,2.0,1
Dracobra,buyers,1400,30000,42000000,840000.0,840000.0,2.0,6
Dracobra,buyers,25,28605,715125,14302.5,14302.5,2.0,0
Dracobra,buyers,50,28519,1425950,28519.0,28519.0,2.0,0
Dracobra,buyers,50,28332,1416600,28332.0,28332.0,2.0,0
Dracobra,buyers,250,28116,7029000,140580.0,140580.0,2.0,4
Dracobra,buyers,50,27230,1361500,27230.0,27230.0,2.0,0
Dracobra,buyers,50,27222,1361100,27222.0,27222.0,2.0,0
Dracobra,buyers,100,27189,2718900,54378.0,54378.0,2.0,2
Dracobra,buyers,100,27176,2717600,54352.0,54352.0,2.0,2
Dracobra,buyers,50,27175,1358750,27175.0,27175.0,2.0,0
Dracobra,buyers,100,27170,2717000,54340.0,54340.0,2.0,2
Dracobra,buyers,100,27157,2715700,54314.0,54314.0,2.0,2
Dracobra,buyers,100,27146,2714600,54292.0,54292.0,2.0,2
Dracobra,buyers,100,27135,2713500,54270.0,54270.0,2.0,2
Dracobra,buyers,50,27130,1356500,27130.0,27130.0,2.0,0
Dracobra,buyers,50,27063,1353150,27063.0,27063.0,2.0,0
Dracobra,buyers,50,27030,1351500,27030.0,27030.0,2.0,0
Dracobra,buyers,75,27010,2025750,40515.0,40515.0,2.0,1
Dracobra,buyers,200,26620,5324000,106480.0,106480.0,2.0,3
Dracobra,buyers,25,26607,665175,13303.5,13303.5,2.0,0
Dracobra,buyers,100,26315,2631500,52630.0,52630.0,2.0,2
Dracobra,buyers,100,26112,2611200,52224.0,52224.0,2.0,2
Dracobra,buyers,100,26101,2610100,52202.0,52202.0,2.0,2
Dracobra,buyers,100,25745,2574500,51490.0,51490.0,2.0,2
Dracobra,buyers,50,25744,1287200,25744.0,25744.0,2.0,0
Dracobra,buyers,100,25732,2573200,51464.0,51464.0,2.0,2
Dracobra,buyers,100,25701,2570100,51402.0,51402.0,2.0,2
Dracobra,buyers,100,25304,2530400,50608.0,50608.0,2.0,2
Dracobra,buyers,25,25210,630250,12605.0,12605.0,2.0,0
Dracobra,buyers,75,25125,1884375,37687.5,37687.5,2.0,1
Dracobra,buyers,50,25123,1256150,25123.0,25123.0,2.0,0
Dracobra,buyers,100,25121,2512100,50242.0,50242.0,2.0,2
Dracobra,buyers,100,24511,2451100,49022.0,49022.0,2.0,2
Dracobra,buyers,75,24430,1832250,36645.0,36645.0,2.0,1
