world,episode,start,end,days,mean_dev,gross
Solidera,6,2025-07-31,2025-08-04,3,0.09417799977040353,0.04589969433112273
Sombra,1,2025-12-24,2026-01-03,11,0.12049805328417161,0.1383886976103133
Talera,1,2025-03-19,2025-03-19,1,0.09438544610185673,-0.0410716262414077
Talera,2,2025-06-07,2025-06-09,3,0.10548205926480196,0.012539601763091804
Talera,3,2025-06-25,2025-07-19,11,0.1045809295926931,0.057659317267457766
Talera,4,2025-09-07,2025-09-07,1,0.09475993644435299,0.06055197025449566
Tempestera,1,2025-11-08,2025-11-27,18,0.27452000490849493,0.1849112805401129
Tempestera,2,2025-12-07,2026-01-07,32,0.15132358499722137,0.11032684033406231
Tempestera,3,2026-01-18,2026-01-19,2,0.0971042474839896,-0.021507433531563258
Tempestera,4,2026-01-27,2026-02-14,12,0.0989078899729569,0.011530466340071785
Tempestera,5,2026-03-02,2026-03-05,2,0.09661610061114256,-0.018758044225061
Tempestera,6,2026-04-19,2026-04-21,3,0.11033915223617659,0.010937015625774649
Terribra,1,2025-12-14,2025-12-22,4,0.11872098553625143,0.07960291380847462
Terribra,2,2026-04-08,2026-04-08,1,0.10405229990766784,0.02496414996763896
Terribra,3,2026-04-20,2026-04-26,2,0.10417800303287716,-0.028299545196355247
Thyria,1,2025-01-06,2025-01-07,2,0.09993084706617417,0.01695392534227924
Thyria,2,2025-01-30,2025-01-30,1,0.1587102103341298,-0.009389626207731538
Thyria,3,2025-03-12,2025-03-12,1,0.10028773726027751,-0.03317539953949655
Thyria,4,2025-04-28,2025-05-04,3,0.10352531853545759,-0.0022854074950077554
Thyria,5,2025-05-29,2025-06-19,9,0.09852672430365159,0.04326953995148979
Thyria,6,2025-07-01,2025-07-06,6,0.1011333831407087,0.0513108209730048
Vunira,1,2024-04-10,2024-09-03,133,0.12060142786306749,0.042874272101497066
Vunira,2,2024-09-14,2024-09-24,10,0.09744420245839028,0.05475349433779009
Vunira,3,2025-05-06,2025-06-03,15,0.09881623067834996,0.03517974911879307
Vunira,4,2025-06-18,2025-06-23,6,0.10013409086416687,0.04402379667450399
Vunira,5,2025-07-02,2025-07-03,2,0.09412983675123598,0.04961442139131389
Vunira,6,2025-07-13,2025-07-16,4,0.09364584578119661,0.05794668426357319
Vunira,7,2025-07-29,2025-07-29,1,0.09203529137159272,0.048239514146533935
Wintera,1,2025-01-04,2025-01-04,1,0.10699848162363068,-0.022113275601682858
Wintera,2,2025-01-25,2025-01-25,1,0.11166537272553612,-0.06510062548846207
Wintera,3,2025-02-08,2025-02-08,1,0.13503455531767905,-0.04324362995672537
Wintera,4,2025-05-05,2025-05-22,11,0.10420281987498034,0.05429515958452378
Wintera,5,2025-06-04,2025-06-13,4,0.10310324277425398,0.05739523498561194
Wintera,6,2025-07-08,2025-07-08,1,0.09778337463045261,0.04308386386824381
Xyla,1,2025-03-06,2025-03-09,2,0.09791457825313277,-0.013194775882492848
Xyla,2,2025-04-12,2025-04-17,6,0.09836382849678642,-0.003935683395746459
Xyla,3,2025-04-26,2025-04-26,1,0.0924447332090228,-0.025477343442412703
Xyla,4,2025-05-05,2025-05-19,7,0.1024218164486833,0.017920560542160655
Xyla,5,2025-06-03,2025-06-23,17,0.11523940097757525,0.05164006796559954
Xyla,6,2025-07-08,2025-08-04,14,0.09838996307224576,0.04405662004812757
Xyla,7,2025-09-02,2025-09-02,1,0.09279657268309904,0.031121057116203943
Xymera,1,2026-02-25,2026-02-25,1,0.09666314251504282,0.07256579778447403
Yonabra,1,2025-09-05,2025-09-13,5,0.09752949026916546,0.016314852992469753
Yonabra,2,2025-12-26,2025-12-26,1,0.09777258975685044,0.027343933491636108
