scheme,target,horizon,fold,model,rmse,r2_oos,dir_acc,dm_t_vs_rw
expanding,ret,30,0,RandomForest,0.057958920154507536,-0.09411294056179509,0.47752394988946206,-1.0353121203222335
expanding,ret,30,1,OLS,0.9710339224581255,-742.5860544224147,0.7294520547945206,-52.99428509893172
expanding,ret,30,1,CatBoost,0.03366554121289597,0.1062138233487625,0.6361301369863014,2.548172469440792
expanding,ret,30,1,RandomForest,0.03527899314414902,0.018489847584133634,0.5616438356164384,0.5102310249406751
expanding,ret,30,2,OLS,0.048919530785020794,-0.592655326701057,0.697460831982712,-6.679563771280316
expanding,ret,30,2,CatBoost,0.030073879740888012,0.3980836361819253,0.7366288492706645,6.894704959572631
expanding,ret,30,2,RandomForest,0.029163009792164206,0.43399284636976654,0.7541869259859535,6.764109827966591
expanding,ret,30,3,OLS,0.04707010120220365,0.13973191229987558,0.7100552116446378,2.6436592626323
expanding,ret,30,3,CatBoost,0.03409962991690357,0.5485154638311647,0.7766438012380793,11.891982025500738
expanding,ret,30,3,RandomForest,0.033079305936112025,0.5751297463523062,0.7908649824326586,12.563062737371645
expanding,ret,30,4,OLS,0.040839231448547134,-0.387052637189955,0.5858245614035088,-4.788325661794621
expanding,ret,30,4,CatBoost,0.03183558140651607,0.1571245728879319,0.6534736842105263,5.077737847074964
expanding,ret,30,4,RandomForest,0.031071360922749047,0.19710570354803958,0.6510877192982456,5.385620532758343
expanding,ret,30,5,OLS,0.04739512603680884,-1.191612698062407,0.44753787878787876,-20.568353203807092
expanding,ret,30,5,CatBoost,0.04929770025845397,-1.3710994117037236,0.428219696969697,-9.733999119200435
expanding,ret,30,5,RandomForest,0.050755117415384236,-1.5133682038852108,0.4106060606060606,-10.571545451187172
expanding,rel,30,0,OLS,0.02671385612727039,-0.028328649731201416,0.5652173913043478,-0.7881837856095517
expanding,rel,30,0,CatBoost,0.026010828463193785,0.025084129407951905,0.578481945467944,1.2629070015791064
expanding,rel,30,0,RandomForest,0.02555726666885486,0.05878773193156428,0.5666912306558585,2.653444037789553
expanding,rel,30,1,OLS,0.2642723592487625,-141.2617203465382,0.4971461187214612,-16.93498811374293
expanding,rel,30,1,CatBoost,0.02248680289564836,-0.030006579605523998,0.548230593607306,-2.7477079838715404
expanding,rel,30,1,RandomForest,0.02179753281816583,0.03216961416721298,0.5579337899543378,4.604192753775905
expanding,rel,30,2,OLS,0.03283981300937517,-0.8049920405252275,0.4443544030253917,-10.362275776440613
expanding,rel,30,2,CatBoost,0.022135416904472394,0.17993296969869077,0.6339816315505132,8.932842996694518
expanding,rel,30,2,RandomForest,0.022314114732447238,0.16663882495453086,0.6612641815235009,9.846654115351988
expanding,rel,30,3,OLS,0.027541385968389426,-0.1543527751487801,0.5266856282415928,-4.592835819986821
expanding,rel,30,3,CatBoost,0.025500029908698353,0.010425836420192569,0.5721934080642462,0.6087191672090669
expanding,rel,30,3,RandomForest,0.025433731781628142,0.0155647815428972,0.5350510289442865,1.2718149119279256
expanding,rel,30,4,OLS,0.027204175374805333,-0.08632613596282734,0.5538245614035088,-3.790973820590956
expanding,rel,30,4,CatBoost,0.025394364970931168,0.05340586213571663,0.5688421052631579,5.1548847510817675
expanding,rel,30,4,RandomForest,0.0251272466847144,0.07321519786460273,0.5747368421052632,9.409539241585126
expanding,rel,30,5,OLS,0.023575809809744087,0.009488459309371144,0.5454545454545454,0.6472713633615793
expanding,rel,30,5,CatBoost,0.02349578028838329,0.01620174902822391,0.593939393939394,1.0295767951590258
expanding,rel,30,5,RandomForest,0.023283747170350002,0.03387782386823457,0.5876893939393939,2.1744639818795766
rolling,ret,1,0,OLS,0.015938021611319655,-0.25640086810303697,0.5394252026529108,-6.167659228989102
rolling,ret,1,0,CatBoost,0.014028191151696585,0.026664070402100726,0.5460574797347089,2.3649533779826672
rolling,ret,1,0,RandomForest,0.014018578818532572,0.027997503014590475,0.5519528371407516,2.785728330739638
rolling,ret,1,1,OLS,0.12464080875324111,-113.26080026959333,0.5111301369863014,-33.44131733404933
rolling,ret,1,1,CatBoost,0.012025066404891703,-0.06353481567237784,0.5519406392694064,-5.302993846206031
rolling,ret,1,1,RandomForest,0.011468778497994192,0.032588880300718936,0.5790525114155252,4.0937642960317575
rolling,ret,1,2,OLS,0.011298978829156193,-0.03724560031324842,0.5497028633171259,-2.898064410346985
rolling,ret,1,2,CatBoost,0.0119786960676995,-0.16579530825937483,0.5383576445164776,-9.294002479343822
rolling,ret,1,2,RandomForest,0.01108840416337548,0.0010556243572058532,0.5659103187466235,0.09055112186789462
rolling,ret,1,3,OLS,0.01214220831881489,-0.02107530746686259,0.5399029613518488,-1.859834601790693
rolling,ret,1,3,CatBoost,0.011777339675649567,0.03936851549244558,0.5745357202610005,6.948900756817425
rolling,ret,1,3,RandomForest,0.011815925253827813,0.03306365514668963,0.5710222519658692,5.777545060645629
rolling,ret,1,4,OLS,0.0126107263997756,-0.00747908711092049,0.5449824561403509,-0.7955131045193534
rolling,ret,1,4,CatBoost,0.012454464274727413,0.01733398695815258,0.5486315789473685,2.827747205648096
rolling,ret,1,4,RandomForest,0.0124590300503331,0.016613369064672256,0.543859649122807,2.4450644764482603
rolling,ret,1,5,OLS,0.012650482414267163,0.009808653732339856,0.5461767626613704,1.3117472442777096
