date,n_worlds,basket_log,basket_price,chain_ret,n_pairs,ew_log,ew_price,index_valid,vw_log,vw_price,disp_pct,breadth_up
2026-01-19,61,10.578468066582516,39279.894105745145,0.00019351013279065153,61,10.56038489457222,38575.972771188906,True,10.580835085182578,39372.98047081882,4.012861055318535,0.5245901639344263
2026-01-20,61,10.57855152960299,39283.17266116826,8.346302047124347e-05,61,10.560468357592692,38579.19257275934,True,10.580931084746556,39376.760441211394,3.6269495894601067,0.5409836065573771
2026-01-21,61,10.57908243041932,39304.03366667453,0.0005309008163290707,61,10.56099925840902,38599.67973543397,True,10.581323121519581,39392.20060566532,3.707680799174246,0.5245901639344263
2026-01-22,61,10.58037162569448,39354.73691734548,0.0012891952751632864,61,10.562288453684184,38649.47435076652,True,10.584087087392096,39501.229911011316,3.8690441211981494,0.5245901639344263
2026-01-23,61,10.579410155314426,39316.91668791327,-0.0009614703800587292,61,10.561326983304124,38612.33188452521,True,10.582954166196302,39456.50347093511,3.907500374250132,0.5737704918032787
2026-01-24,61,10.577408702307292,39238.304422396795,-0.0020014530071336845,61,10.559325530296992,38535.12840210546,True,10.581324114341552,39392.23971512696,4.116559115971272,0.4918032786885246
2026-01-25,61,10.57922261552147,39309.543892865804,0.0018139132141808463,61,10.561139443511172,38605.091214776265,True,10.581160178667968,39385.78245107772,3.9878381561217937,0.4918032786885246
2026-01-26,61,10.577183513218419,39229.46937919,-0.0020391023030522557,61,10.559100341208119,38526.451688638255,True,10.580880326862951,39374.76181091174,4.102893623066149,0.4426229508196721
2026-01-27,61,10.577024014112379,39223.21281286522,-0.00015949910603573402,61,10.558940842102084,38520.30724406496,True,10.578902977224656,39296.981065094755,3.917831234548004,0.45901639344262296
2026-01-28,61,10.576529266234644,39203.81201121658,-0.0004947478777400703,61,10.558446094224344,38501.2541174417,True,10.580191810930856,39347.66099082627,4.111632565411898,0.5245901639344263
2026-01-29,60,10.577617389091811,39246.49379245364,0.00019801403924901706,60,10.558644108263593,38508.87866114408,True,10.578731799522798,39290.25487388946,4.192570221366211,0.4666666666666667
