world,model,n_test,rmse,r2_oos,dm_t_vs_rw
Menera,SARIMA,64,0.030201060000956233,0.00980369710172646,0.295551481591535
Menera,SARIMAX,64,0.0301843041143237,0.010902136321227052,0.3420811312157295
Menera,MarkovSwitch,64,0.030607928010391843,-0.017055822961843603,-0.8544282928361353
Monstera,RandomWalk,62,0.01898446425812863,0.0,
Monstera,SARIMA,62,0.018651750229355633,0.03474404319831825,0.8391084079801315
Monstera,SARIMAX,62,0.019912300294340688,-0.10013548886781676,-1.4253099336034964
Monstera,MarkovSwitch,62,0.019127188150060245,-0.015092381240565667,-0.19068735557813943
Monza,RandomWalk,64,0.016533397850266366,0.0,
Monza,SARIMA,64,0.016737139686234637,-0.02479795114322525,-0.9248145892529563
Monza,SARIMAX,64,0.0176367089732774,-0.13791772987831674,-1.1698678617718423
Monza,MarkovSwitch,64,0.017093054168857726,-0.06884592271967671,-1.0938638950029553
Nefera,RandomWalk,65,0.019314628697312805,0.0,
Nefera,SARIMA,65,0.019436963698140016,-0.012707717604334645,-1.2967091530273953
Nefera,SARIMAX,65,0.019510670899796075,-0.02040288873877727,-0.9537981719778527
Nefera,MarkovSwitch,65,0.019935135788757618,-0.06528464951102753,-1.1738950950493587
Nevia,RandomWalk,64,0.017510753839466767,0.0,
Nevia,SARIMA,64,0.018321170400287145,-0.09470409376703426,-1.4753222808655828
Nevia,SARIMAX,64,0.018208406723557394,-0.08127012956135404,-1.189323438638561
Nevia,MarkovSwitch,64,0.01870020272520582,-0.14046757841767343,-1.7469529590623072
Ombra,RandomWalk,64,0.021806492822367435,0.0,
Ombra,SARIMA,64,0.022513147586644775,-0.06586153884457402,-0.5653510512635307
Ombra,SARIMAX,64,0.02207193103396601,-0.024493047005917257,-0.3253241468255984
Ombra,MarkovSwitch,64,0.023437933063595824,-0.15522605010603785,-1.5748936736364225
Ourobra,RandomWalk,65,0.02061315643035732,0.0,
Ourobra,SARIMA,65,0.02066078276006012,-0.004626302600078791,-0.4173661561057299
Ourobra,SARIMAX,65,0.02039394387081375,0.021156094355822108,1.053367274853404
Ourobra,MarkovSwitch,65,0.021617446952349094,-0.09981542321111592,-1.4979827959941463
Pacera,RandomWalk,64,0.021726059023814012,0.0,
Pacera,SARIMA,64,0.020843337699319543,0.0796084565151538,0.9380832590883456
Pacera,SARIMAX,64,0.02086963454663066,0.07728458072758748,1.407724679653924
Pacera,MarkovSwitch,64,0.02595806299737606,-0.42752148729358397,-2.532226249278752
Peloria,RandomWalk,63,0.029648252520069866,0.0,
Peloria,SARIMA,63,0.03098555047477991,-0.09224541452680435,-1.865005031326675
Peloria,SARIMAX,63,0.03040423528084073,-0.051646951710897504,-1.343691026328735
Peloria,MarkovSwitch,63,0.03115008755931201,-0.10387612802959034,-1.0611220622713848
Quelibra,RandomWalk,65,0.020336695282695726,0.0,
Quelibra,SARIMA,65,0.020641871544710307,-0.030237560610588465,-0.49518911797626136
Quelibra,SARIMAX,65,0.020235522857972418,0.009924991594416177,0.196821312864516
Quelibra,MarkovSwitch,65,0.021440082125083307,-0.11145562054833169,-1.7453359673958444
Quidera,RandomWalk,64,0.032464699209525126,0.0,
Quidera,SARIMA,64,0.033196914285806484,-0.04561707665319559,-0.7078715671871377
Quidera,SARIMAX,64,0.03382865139535178,-0.08579191243095674,-1.0855882970641668
Quidera,MarkovSwitch,64,0.032444079182982484,0.0012699010689455337,0.8859581908257198
Quintera,RandomWalk,65,0.02141368266542416,0.0,
Quintera,SARIMA,65,0.021324719322251173,0.008291758595947885,0.6198885944076239
Quintera,SARIMAX,65,0.02145957811636133,-0.004291147392481154,-0.23896556041760203
Quintera,MarkovSwitch,65,0.021728496127149412,-0.02961915362699208,-1.3341753932549674
Rasteibra,RandomWalk,65,0.021081967223962897,0.0,
Rasteibra,SARIMA,65,0.02117974175070966,-0.009297164386865564,-0.09026837974566118
Rasteibra,SARIMAX,65,0.02119365923353927,-0.010624044696630364,-0.07772824723482095
Rasteibra,MarkovSwitch,65,0.020291104374625894,0.07362014564060204,0.9347823974044066
Refugia,RandomWalk,65,0.01715943674419394,0.0,
Refugia,SARIMA,65,0.017567209054763864,-0.0480921854628964,-2.7173362548861957
Refugia,SARIMAX,65,0.01775467206476082,-0.07058031603900639,-1.445516066555285
Refugia,MarkovSwitch,65,0.01852827270955139,-0.1659067385187416,-1.6797851362452791
Retalia,RandomWalk,62,0.03144960586094731,0.0,
Retalia,SARIMA,62,0.03242126338601218,-0.06274594016579083,-0.650974058593764
Retalia,SARIMAX,62,0.03164333210995579,-0.012357732969987545,-0.15910776399889137
Retalia,MarkovSwitch,62,0.03191545392641075,-0.02984446040692057,-0.2865841779281617
Secura,RandomWalk,65,0.014636132868061012,0.0,
Secura,SARIMA,65,0.014635291746000945,0.00011493444320020973,0.0181146196523144
