world,n_obs,first,last,px_first,px_last,px_med,px_min,px_max,vol,sold,bought,lots_sold,region,pvp_type,battleye_protected,battleye_date,transfer_type,created,is_merge_destination,launch_in_window,premium_only,record_online,guilds,people_in_guilds,ach_points,converged,activity_year,active_chars,premium_accounts,free_accounts,premium_share,mean_level,median_level,chars_level_100plus,pct_level_100plus,vip_total,vip_guilds,population,active_share,guilded_share,total_ret_pct
Karmeya,571,2025-01-01,2026-07-25,41983.0,38353.0,38353.0,35134.5,42774.0,0.8486975385457677,2075.0,2750.0,83.0,Europe,Optional PvP,True,release,regular,2024-09-09,True,False,False,607.0,31,564,107194,True,166.45730027548208,4366,2791,1575,0.6392579019697664,286.24347228584514,196.0,2906,0.6655978011910215,86601,31,86601,0.050415122227226015,0.006512626874978349,-8.646356858728533
Lobera,901,2024-02-09,2026-07-28,35417.0,39114.5,36689.0,27623.0,40784.0,1.1456011621265885,4450.0,5475.0,178.0,North America,Open PvP,True,2018-04-19,regular,2002-11-14,True,False,False,1050.0,84,10748,1274292,True,272.5096418732782,13328,6162,7166,0.4623349339735894,215.38062725090035,126.0,7932,0.5951380552220888,226116,84,226116,0.058943197296962624,0.047533124590917936,10.439901742101254
Luminera,329,2025-09-05,2026-07-30,41362.0,43400.5,41931.5,37286.5,45679.0,1.56419930212029,2850.0,1800.0,114.0,North America,Optional PvP,True,2017-09-05,regular,2005-07-20,False,False,False,1051.0,46,3111,575436,True,154.78236914600552,5935,3109,2826,0.5238416175231676,269.4060657118787,170.0,3969,0.6687447346251053,73895,46,73895,0.08031666553894039,0.04210027742066445,4.9284367293651155
Lutabra,309,2025-09-05,2026-07-12,37098.5,38006.0,38235.0,32550.5,42725.0,2.0584314848807233,600.0,500.0,24.0,South America,Retro Open PvP,True,2017-12-12,regular,2017-12-12,False,False,False,1053.0,3,751,83209,True,32.32506887052342,4686,1687,2999,0.3600085360648741,181.0746905676483,132.0,2712,0.5787451984635084,85440,3,85440,0.054845505617977526,0.008789794007490637,2.4461905467876077
Luzibra,333,2025-08-28,2026-07-26,14469.0,39649.5,23114.0,14048.5,39649.5,3.623783244173926,1100.0,1475.0,44.0,South America,Optional PvP,True,release,regular,2025-05-21,False,True,False,544.0,4,376,66813,False,70.78512396694215,3368,1951,1417,0.5792755344418052,103.81086698337292,45.0,1006,0.2986935866983373,12032,4,12032,0.27992021276595747,0.03125,174.0306862948372
Maligna,67,2026-05-22,2026-07-30,1169.0,12029.5,9830.5,1169.0,12897.0,6.761159529719849,1900.0,4750.0,76.0,Europe,Open PvP,True,release,blocked,2026-05-20,False,True,False,200.0,11,301,11352,False,108.0,2681,2045,636,0.762775083923909,64.36404326743752,34.0,530,0.1976874300634091,4319,11,4319,0.6207455429497569,0.06969205834683954,929.0419161676647
Menera,328,2025-09-04,2026-07-28,40293.0,43492.0,41762.5,36805.5,45819.5,1.6607662867475936,2375.0,1400.0,95.0,North America,Optional PvP,True,2017-09-05,regular,2006-07-13,False,False,False,1051.0,48,2007,391367,True,129.900826446281,5188,2742,2446,0.5285273708558211,273.6274094063223,173.0,3502,0.6750192752505783,62718,48,62718,0.08271947447303804,0.03200038266526356,7.9393443029806665
Monstera,258,2025-11-07,2026-07-22,39072.0,36667.5,37683.5,35308.5,41589.5,1.0322426325252998,700.0,837.5,28.0,North America,Retro Hardcore PvP,True,release,regular,2025-11-06,True,False,False,130.0,7,1093,150207,True,37.678030303030305,4594,2082,2512,0.4531998258598171,176.97801480191555,96.0,2270,0.4941227688289072,52201,8,52201,0.08800597689699431,0.020938296201222197,-6.15402334152334
Monza,572,2025-01-01,2026-07-26,40634.0,42392.5,40895.75,37777.0,45096.5,0.8526372259538302,1825.0,2075.0,73.0,Europe,Optional PvP,True,2018-04-19,regular,2006-07-13,True,False,False,887.0,44,2433,545105,True,193.04407713498622,5725,3095,2630,0.5406113537117904,317.64244541484715,224.0,4218,0.736768558951965,102978,44,102978,0.05559439880362796,0.02362640564003962,4.32765664222079
Mystera,323,2025-09-05,2026-07-29,1319.5,19128.0,10941.0,1169.5,24995.0,6.8121434617052525,125.0,250.0,5.0,North America,Retro Open PvP,True,release,blocked,2025-08-27,False,True,False,206.0,2,53,2478,False,17.68562874251497,1826,837,989,0.4583789704271632,51.37075575027382,29.0,240,0.1314348302300109,2320,2,2320,0.7870689655172414,0.022844827586206897,1349.6400151572566
