model_type,series,horizon_days,lag_or_window_days,coefficient,std_error_two_way,t_stat,p_value,r2_within,cluster_variance_floor_applied,n,n_worlds,n_dates,date_start,date_end
shock_lag,realized_75,30,14,0.0018557622292688497,0.0028139884448328337,0.6594775585082732,0.5095891522642443,0.020009130428727873,True,27935,61,1204,2023-01-26,2026-06-30
shock_lag,realized_100,30,14,0.0017517036356552561,0.0028739975739415515,0.6095007356783804,0.5421925852643246,0.02000333990463632,True,27935,61,1204,2023-01-26,2026-06-30
shock_lag,realized_category,30,14,0.001960057659207363,0.0027095128732709207,0.7233985409492385,0.46943506737128704,0.020016078433095497,True,27935,61,1204,2023-01-26,2026-06-30
shock_lag,kill_count,1,30,0.0009957930285888696,0.0014006158997245206,0.7109679597273789,0.4771040907507845,0.016171354114810965,False,28728,61,1215,2023-02-11,2026-07-29
shock_lag,direct_coin,1,30,-0.0012387958798535062,0.0008963216145168891,-1.38208859385948,0.16694450026260343,0.01626117963512852,False,28728,61,1215,2023-02-11,2026-07-29
shock_lag,potential_max,1,30,-0.0006023408758162486,0.0010240169733409317,-0.5882137615854809,0.5563888215121529,0.0161562398288988,False,28728,61,1215,2023-02-11,2026-07-29
shock_lag,potential_conservative,1,30,-0.0007747776896830779,0.0010460243559007945,-0.7406880014910076,0.45888263605531876,0.016169466904238483,False,28728,61,1215,2023-02-11,2026-07-29
shock_lag,realized_25,1,30,-0.0010775580803417581,0.0009863028921868232,-1.092522478518343,0.27460351574785913,0.016210186979309094,False,28728,61,1215,2023-02-11,2026-07-29
shock_lag,realized_50,1,30,-0.0008895259342362383,0.0010160720656511074,-0.8754555550803601,0.38132608303596116,0.01618180745575315,False,28728,61,1215,2023-02-11,2026-07-29
shock_lag,realized_75,1,30,-0.0007298590072487421,0.0010240851117353904,-0.7126936998546345,0.4760353158512971,0.016165755890466982,False,28728,61,1215,2023-02-11,2026-07-29
shock_lag,realized_100,1,30,-0.0006023408758162486,0.0010240169733409317,-0.5882137615854809,0.5563888215121529,0.0161562398288988,False,28728,61,1215,2023-02-11,2026-07-29
shock_lag,realized_category,1,30,-0.0009169205080218962,0.001043958771356995,-0.8783110340938394,0.3797749494300452,0.016183813580174067,False,28728,61,1215,2023-02-11,2026-07-29
shock_lag,kill_count,7,30,0.0027457248715607066,0.0022281309651693555,1.2322995885262111,0.21783719347149422,0.023492861480297056,True,28362,61,1209,2023-02-11,2026-07-23
shock_lag,direct_coin,7,30,0.0011071168299961482,0.001396987327468829,0.7925031302911738,0.4280673672694132,0.02343354923161134,True,28362,61,1209,2023-02-11,2026-07-23
shock_lag,potential_max,7,30,0.0023823615507514726,0.0018355311341667184,1.2979139968840683,0.19431688976578265,0.023504973063555257,True,28362,61,1209,2023-02-11,2026-07-23
shock_lag,potential_conservative,7,30,0.0021873295854720194,0.0017985121560330144,1.216188380008852,0.22391316917606296,0.023491511517879093,True,28362,61,1209,2023-02-11,2026-07-23
shock_lag,realized_25,7,30,0.00168829924952321,0.001619231552259098,1.042654614263013,0.2971082851290403,0.023463390609572476,True,28362,61,1209,2023-02-11,2026-07-23
shock_lag,realized_50,7,30,0.002034526013490976,0.0017343964995692358,1.1730455025689237,0.240777558957056,0.02348315549118407,True,28362,61,1209,2023-02-11,2026-07-23
shock_lag,realized_75,7,30,0.002246357461443289,0.0017980659309085165,1.2493187390010012,0.21154851670436858,0.02349614394708177,True,28362,61,1209,2023-02-11,2026-07-23
shock_lag,realized_100,7,30,0.0023823615507514726,0.0018355311341667184,1.2979139968840683,0.19431688976578265,0.023504973063555257,True,28362,61,1209,2023-02-11,2026-07-23
shock_lag,realized_category,7,30,0.0020430955690532012,0.0017391350549495607,1.1747768312981628,0.24008401166902948,0.023482498110186545,True,28362,61,1209,2023-02-11,2026-07-23
shock_lag,kill_count,30,30,0.0006815889871323768,0.0030461487895550848,0.22375433185321475,0.8229484668673309,0.02095800360460698,True,26959,61,1186,2023-02-11,2026-06-30
shock_lag,direct_coin,30,30,-0.0012090286614436455,0.002004127891321386,-0.6032692158415569,0.5463296085350289,0.02098331302131562,True,26959,61,1186,2023-02-11,2026-06-30
shock_lag,potential_max,30,30,-0.001119360023964766,0.002561361085565325,-0.4370176584133232,0.6620985417975025,0.020969831761880164,True,26959,61,1186,2023-02-11,2026-06-30
shock_lag,potential_conservative,30,30,-0.001069309602772162,0.0025567856156885767,-0.4182241937731579,0.6757832083691163,0.020969031524954107,True,26959,61,1186,2023-02-11,2026-06-30
shock_lag,realized_25,30,30,-0.0012448296722924726,0.0023010875568830387,-0.5409744920695974,0.5885251645146266,0.02097805913031403,True,26959,61,1186,2023-02-11,2026-06-30
shock_lag,realized_50,30,30,-0.001211696309337684,0.0024449187416321276,-0.49559778356020334,0.6201782168933343,0.02097432222197937,True,26959,61,1186,2023-02-11,2026-06-30
shock_lag,realized_75,30,30,-0.0011646473802939955,0.002519765558684406,-0.4622046587945544,0.6439345626586956,0.020971706726906736,True,26959,61,1186,2023-02-11,2026-06-30
shock_lag,realized_100,30,30,-0.001119360023964766,0.002561361085565325,-0.4370176584133232,0.6620985417975025,0.020969831761880164,True,26959,61,1186,2023-02-11,2026-06-30
shock_lag,realized_category,30,30,-0.0011729306637937248,0.002475766439524063,-0.473764667405059,0.6356677329726208,0.020972739946581,True,26959,61,1186,2023-02-11,2026-06-30
